Portfolio,open_qty,close_qty,buy_avg,sell_avg,gross_profit,expense,net_profit
FINNIFTY24521-21000-21400CE,1,2,1.8,0.925,146.0,50.4,95.6
FINNIFTY24521-21000-21500CE,2,2,-0.125,1.2,86.0,84.0,2.0
FINNIFTY24521-21000-21600CE,2,0,0.5,0.0,40.0,50.4,-10.399999999999999
FINNIFTY24521-21050-21300CE,1,1,-2.2,-0.95,-126.00000000000001,21.0,-147.0
FINNIFTY24521-21050-21400CE,2,2,-0.5250000000000001,1.25,57.999999999999986,58.8,-0.8000000000000114
FINNIFTY24521-21050-21500CE,2,0,-1.5499999999999998,0.0,-123.99999999999999,37.8,-161.79999999999998
FINNIFTY24521-21100-21300CE,0,3,0.0,-1.3833333333333335,-166.0,25.2,-191.2
FINNIFTY24521-21100-21400CE,1,8,-0.3,0.46249999999999997,136.0,113.39999999999999,22.60000000000001
FINNIFTY24521-21100-21500CE,1,3,-0.25,0.7666666666666666,82.0,67.2,14.799999999999997
FINNIFTY24521-21100-21600CE,0,1,0.0,0.9,36.0,21.0,15.0
FINNIFTY24521-21150-21300CE,0,2,0.0,0.625,50.0,12.6,37.4
FINNIFTY24521-21150-21400CE,2,4,0.55,-1.7375000000000003,-234.00000000000006,62.99999999999999,-297.00000000000006
FINNIFTY24521-21150-21500CE,2,1,0.775,0.85,96.0,44.099999999999994,51.900000000000006
FINNIFTY24521-21150-21600CE,0,1,0.0,0.65,26.0,18.9,7.100000000000001
FINNIFTY24521-21200-21300CE,0,5,0.0,-0.69,-138.0,21.0,-159.0
FINNIFTY24521-21200-21400CE,0,11,0.0,0.11363636363636359,49.999999999999986,92.39999999999999,-42.400000000000006
FINNIFTY24521-21200-21500CE,2,2,0.925,0.8,138.0,50.4,87.6
FINNIFTY24521-21200-21600CE,0,3,0.0,0.3666666666666667,44.0,50.4,-6.399999999999999
FINNIFTY24521-21250-21300CE,1,3,-0.4,-1.4166666666666663,-185.99999999999997,8.4,-194.39999999999998
FINNIFTY24521-21250-21400CE,2,5,0.225,-0.31,-44.0,44.099999999999994,-88.1
FINNIFTY24521-21250-21500CE,8,5,0.3325,1.1,326.4,136.5,189.89999999999998
FINNIFTY24521-21250-21600CE,2,0,0.35,0.0,28.0,29.4,-1.3999999999999986
FINNIFTY24521-21300-21400CE,8,23,0.29374999999999996,0.047826086956521734,137.99999999999997,130.2,7.799999999999983
FINNIFTY24521-21300-21500CE,5,22,-0.7899999999999999,0.3972727272727273,191.60000000000002,226.79999999999998,-35.19999999999996
FINNIFTY24521-21300-21600CE,5,27,1.3800000000000001,0.2074074074074074,500.0,403.2,96.80000000000001
FINNIFTY24521-21350-21400CE,7,5,0.1928571428571428,-0.9400000000000001,-134.00000000000003,25.2,-159.20000000000002
FINNIFTY24521-21350-21500CE,0,3,0.0,1.3166666666666667,158.0,18.9,139.1
FINNIFTY24521-21400-21500CE,2,0,0.4,0.0,32.0,8.4,23.6
FINNIFTY24521-21400-21600CE,2,0,0.6,0.0,48.0,16.8,31.2
FINNIFTY24521-21450-21400PE,67,70,0.5723880597014925,0.24071428571428574,2208.0,287.7,1920.3
FINNIFTY24521-21450-21500CE,1,2,0.2,0.15,20.0,6.3,13.7
