Timestamp,Portfolio,TRDPARITY,QTY,ParityAsked,OpnCls
2024-May-21 09:15:04,MIDCPNIFTY24MAY-11325-11300PE,1.5,1,0.85,1
2024-May-21 09:15:05,MIDCPNIFTY24MAY-11350-11300PE,-4.4,2,0.9,1
2024-May-21 09:15:06,FINNIFTY24521-21450-21500CE,0.2,1,0.55,1
2024-May-21 09:15:13,FINNIFTY24521-21800-21600PE,1.2,2,1.1,1
2024-May-21 09:15:15,NIFTY24MAY-22100-22500CE,5.6,2,2.5,1
2024-May-21 09:15:20,MIDCPNIFTY24MAY-11375-11350PE,1.03,2,0.5,2
2024-May-21 09:15:21,FINNIFTY24521-21300-21600CE,0.1,1,0.5,2
2024-May-21 09:15:22,MIDCPNIFTY24MAY-11350-11250PE,1.67,2,1.05,1
2024-May-21 09:15:22,MIDCPNIFTY24MAY-11350-11250PE,1.45,2,1.05,1
2024-May-21 09:15:22,MIDCPNIFTY24MAY-11375-11350PE,0.65,2,0.5,2
2024-May-21 09:15:24,FINNIFTY24521-21850-21600PE,2.63,2,0.5,2
2024-May-21 09:15:29,NIFTY24MAY-22200-22500CE,3.1,1,2.1,1
2024-May-21 09:15:29,NIFTY24MAY-22200-22500CE,2.75,2,2.1,1
2024-May-21 09:15:30,NIFTY24523-22000-22450CE,1.5,2,0.9,2
2024-May-21 09:15:35,FINNIFTY24521-21300-21400CE,0.65,2,0.4,2
2024-May-21 09:15:43,FINNIFTY24521-21300-21500CE,0.65,1,0.4,2
2024-May-21 09:15:43,FINNIFTY24521-21300-21500CE,0.55,2,0.4,2
2024-May-21 09:15:43,FINNIFTY24521-21300-21600CE,0.5,2,0.45,2
2024-May-21 09:15:45,NIFTY24MAY-22200-22500CE,2.6,1,2.1,1
2024-May-21 09:15:48,FINNIFTY24521-21250-21500CE,0.83,2,0.6,1
2024-May-21 09:15:48,FINNIFTY24521-21250-21500CE,0.75,2,0.6,1
2024-May-21 09:15:52,FINNIFTY24521-21000-21400CE,0.65,1,0.6,2
2024-May-21 09:15:54,FINNIFTY24521-21200-21400CE,0.7,1,0.45,2
2024-May-21 09:16:12,FINNIFTY24521-21800-21400PE,0.75,1,0.5,2
2024-May-21 09:16:12,FINNIFTY24521-21600-21400PE,0.4,1,0.35,2
