--------------------2024-May-21 07:50:09------------------------------------
2024-May-21 09:15:03 |BANKNIFTY24522-47500-48100CE |TRDPARITY:100 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1600000000016351 |OrdNumL2:1600000000016800 |OrdNumL3:1800000000017886 |OrdNumL4:1800000000017887 |M2M:-13.20
2024-May-21 09:15:04 |BANKNIFTY24522-47500-48100CE |TRDPARITY:285 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000000022872 |OrdNumL2:1600000000023259 |OrdNumL3:1800000000023424 |OrdNumL4:1800000000023427 |M2M:26.40
2024-May-21 09:15:04 |BANKNIFTY24522-47400-48100CE |TRDPARITY:145 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1500000000024840 |OrdNumL2:1600000000026351 |OrdNumL3:1800000000025729 |OrdNumL4:1700000000025513 |M2M:19.50
2024-May-21 09:15:05 |BANKNIFTY24522-48300-48100PE |TRDPARITY:203 |QTY:2 |ParityWas:170 |OpnCls:1 |OrdNumL1:1800000000036510 |OrdNumL2:1800000000036550 |OrdNumL3:1600000000037391 |OrdNumL4:1600000000037392 |M2M:50.40
2024-May-21 09:15:06 |BANKNIFTY24522-47900-48000CE |TRDPARITY:245 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1600000000046647 |OrdNumL2:1500000000049527 |OrdNumL3:1700000000048609 |OrdNumL4:1800000000046650 |M2M:68.85
2024-May-21 09:15:11 |BANKNIFTY24522-47500-47900CE |TRDPARITY:355 |QTY:1 |ParityWas:160 |OpnCls:2 |OrdNumL1:1600000000079482 |OrdNumL2:1600000000079507 |OrdNumL3:1800000000082089 |OrdNumL4:1800000000082092 |M2M:98.40
2024-May-21 09:15:15 |BANKNIFTY24522-48600-48000PE |TRDPARITY:172 |QTY:2 |ParityWas:110 |OpnCls:1 |OrdNumL1:1700000000140019 |OrdNumL2:1700000000140072 |OrdNumL3:1500000000139871 |OrdNumL4:1500000000139872 |M2M:120.00
2024-May-21 09:15:16 |BANKNIFTY24522-47600-48000CE |TRDPARITY:250 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1500000000149303 |OrdNumL2:1500000000149579 |OrdNumL3:1700000000149722 |OrdNumL4:1700000000149723 |M2M:135.00
2024-May-21 09:15:17 |BANKNIFTY24522-47500-48000CE |TRDPARITY:103 |QTY:2 |ParityWas:120 |OpnCls:1 |OrdNumL1:1600000000145976 |OrdNumL2:1500000000160197 |OrdNumL3:1700000000161634 |OrdNumL4:1800000000148609 |M2M:129.00
2024-May-21 09:15:19 |BANKNIFTY24522-47000-47900CE |TRDPARITY:230 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000000178641 |OrdNumL2:1600000000164549 |OrdNumL3:1800000000169555 |OrdNumL4:1700000000184003 |M2M:130.95
2024-May-21 09:15:20 |BANKNIFTY24522-48800-47900PE |TRDPARITY:248 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1700000000195436 |OrdNumL2:1800000000183263 |OrdNumL3:1600000000178363 |OrdNumL4:1500000000194120 |M2M:193.65
2024-May-21 09:15:20 |BANKNIFTY24522-48800-48100PE |TRDPARITY:291 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1700000000195434 |OrdNumL2:1800000000183261 |OrdNumL3:1600000000178362 |OrdNumL4:1500000000194117 |M2M:193.65
2024-May-21 09:15:25 |BANKNIFTY24522-47500-48000CE |TRDPARITY:205 |QTY:1 |ParityWas:120 |OpnCls:1 |OrdNumL1:1600000000212249 |OrdNumL2:1500000000232002 |OrdNumL3:1700000000237079 |OrdNumL4:1800000000219874 |M2M:205.95
2024-May-21 09:15:25 |BANKNIFTY24522-47500-48000CE |TRDPARITY:190 |QTY:1 |ParityWas:120 |OpnCls:1 |OrdNumL1:1600000000212270 |OrdNumL2:1500000000232011 |OrdNumL3:1700000000237102 |OrdNumL4:1800000000219893 |M2M:216.00
2024-May-21 09:15:25 |BANKNIFTY24522-47500-48000CE |TRDPARITY:205 |QTY:1 |ParityWas:120 |OpnCls:1 |OrdNumL1:1600000000212317 |OrdNumL2:1500000000232080 |OrdNumL3:1700000000237167 |OrdNumL4:1800000000219936 |M2M:228.30
2024-May-21 09:15:35 |BANKNIFTY24522-47700-48000CE |TRDPARITY:120 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000000306105 |OrdNumL2:1500000000333126 |OrdNumL3:1700000000337092 |OrdNumL4:1800000000315417 |M2M:225.60
2024-May-21 09:15:41 |BANKNIFTY24522-48400-48200PE |TRDPARITY:170 |QTY:2 |ParityWas:115 |OpnCls:1 |OrdNumL1:1700000000396550 |OrdNumL2:1700000000396645 |OrdNumL3:1500000000395291 |OrdNumL4:1500000000395292 |M2M:245.40
2024-May-21 09:15:56 |BANKNIFTY24522-48900-48100PE |TRDPARITY:155 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1800000000496946 |OrdNumL2:1800000000496949 |OrdNumL3:1600000000495487 |OrdNumL4:1600000000495488 |M2M:240.60
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48200PE |TRDPARITY:200 |QTY:2 |ParityWas:120 |OpnCls:1 |OrdNumL1:1800000000533328 |OrdNumL2:1700000000563787 |OrdNumL3:1500000000567620 |OrdNumL4:1600000000531806 |M2M:267.90
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48200PE |TRDPARITY:250 |QTY:2 |ParityWas:120 |OpnCls:1 |OrdNumL1:1800000000534648 |OrdNumL2:1700000000565510 |OrdNumL3:1500000000568940 |OrdNumL4:1600000000533087 |M2M:310.20
2024-May-21 09:16:00 |BANKNIFTY24MAY-47600-48100CE |TRDPARITY:545 |QTY:2 |ParityWas:175 |OpnCls:2 |OrdNumL1:1400000000244438 |OrdNumL2:1400000000244893 |OrdNumL3:1400000000244896 |OrdNumL4:1400000000244899 |M2M:402.30
2024-May-21 09:16:02 |BANKNIFTY24522-47300-48000CE |TRDPARITY:215 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000000570998 |OrdNumL2:1500000000610268 |OrdNumL3:1700000000603413 |OrdNumL4:1800000000572500 |M2M:407.55
2024-May-21 09:16:03 |BANKNIFTY24522-48400-48000PE |TRDPARITY:147 |QTY:2 |ParityWas:110 |OpnCls:1 |OrdNumL1:1700000000611897 |OrdNumL2:1700000000612018 |OrdNumL3:1500000000619052 |OrdNumL4:1500000000619053 |M2M:421.65
2024-May-21 09:16:04 |BANKNIFTY24522-48200-48000PE |TRDPARITY:125 |QTY:1 |ParityWas:115 |OpnCls:1 |OrdNumL1:1700000000617225 |OrdNumL2:1700000000617272 |OrdNumL3:1500000000624326 |OrdNumL4:1500000000624327 |M2M:424.80
2024-May-21 09:16:04 |BANKNIFTY24522-48200-48000PE |TRDPARITY:150 |QTY:2 |ParityWas:115 |OpnCls:1 |OrdNumL1:1700000000622753 |OrdNumL2:1700000000622764 |OrdNumL3:1500000000629001 |OrdNumL4:1500000000629002 |M2M:438.60
2024-May-21 09:16:04 |BANKNIFTY24522-48200-48000PE |TRDPARITY:130 |QTY:2 |ParityWas:115 |OpnCls:1 |OrdNumL1:1700000000622772 |OrdNumL2:1700000000622874 |OrdNumL3:1500000000629016 |OrdNumL4:1500000000629017 |M2M:446.40
2024-May-21 09:16:25 |BANKNIFTY24522-48500-48200PE |TRDPARITY:125 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1800000000813754 |OrdNumL2:1700000000840765 |OrdNumL3:1500000000839507 |OrdNumL4:1600000000797962 |M2M:446.25
2024-May-21 09:16:33 |BANKNIFTY24JUN-47800-48000CE |TRDPARITY:3250 |QTY:2 |ParityWas:1955 |OpnCls:1 |OrdNumL1:1300000000216813 |OrdNumL2:1300000000242513 |OrdNumL3:1300000000242517 |OrdNumL4:1300000000242520 |M2M:1232.85
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48100CE |TRDPARITY:280 |QTY:2 |ParityWas:160 |OpnCls:2 |OrdNumL1:1500000000974514 |OrdNumL2:1600000000925060 |OrdNumL3:1800000000952268 |OrdNumL4:1700000000978978 |M2M:1292.85
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48200CE |TRDPARITY:305 |QTY:2 |ParityWas:175 |OpnCls:2 |OrdNumL1:1500000000974515 |OrdNumL2:1500000000974783 |OrdNumL3:1700000000978980 |OrdNumL4:1700000000978983 |M2M:1292.85
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48000CE |TRDPARITY:315 |QTY:2 |ParityWas:185 |OpnCls:2 |OrdNumL1:1500000000974516 |OrdNumL2:1500000000974787 |OrdNumL3:1700000000978995 |OrdNumL4:1700000000978996 |M2M:1330.35
2024-May-21 09:16:48 |BANKNIFTY24522-48600-48100PE |TRDPARITY:160 |QTY:1 |ParityWas:135 |OpnCls:2 |OrdNumL1:1700000001050783 |OrdNumL2:1800000001020893 |OrdNumL3:1600000000990474 |OrdNumL4:1500000001045602 |M2M:1333.65
2024-May-21 09:17:00 |BANKNIFTY24522-47200-48000CE |TRDPARITY:370 |QTY:2 |ParityWas:185 |OpnCls:2 |OrdNumL1:1500000001167201 |OrdNumL2:1500000001179852 |OrdNumL3:1700000001199276 |OrdNumL4:1700000001199278 |M2M:1387.65
2024-May-21 09:17:05 |BANKNIFTY24522-47300-48000CE |TRDPARITY:190 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000001186380 |OrdNumL2:1500000001249311 |OrdNumL3:1700000001265662 |OrdNumL4:1800000001232884 |M2M:1389.90
