--------------------2024-May-21 07:50:07------------------------------------
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:150 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000012057 |OrdNumL2:1000000000012467 |OrdNumL3:2000000000007210 |OrdNumL4:2000000000007211 |M2M:24.25
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:95 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000012475 |OrdNumL2:1000000000012547 |OrdNumL3:2000000000007291 |OrdNumL4:2000000000007292 |M2M:34.75
2024-May-21 09:15:01 |NIFTY24523-22400-22550CE |TRDPARITY:200 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1000000000012556 |OrdNumL2:1100000000006845 |OrdNumL3:2100000000007693 |OrdNumL4:2000000000007330 |M2M:70.50
2024-May-21 09:15:02 |FINNIFTY24521-21350-21500CE |TRDPARITY:80 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000000089013 |OrdNumL2:1200000000089683 |OrdNumL3:1900000000078643 |OrdNumL4:1900000000078645 |M2M:87.30
2024-May-21 09:15:03 |NIFTY24523-22600-22500PE |TRDPARITY:535 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:2000000000012467 |OrdNumL2:2100000000013179 |OrdNumL3:1100000000012601 |OrdNumL4:1000000000018642 |M2M:207.30
2024-May-21 09:15:03 |NIFTY24523-22300-22450CE |TRDPARITY:575 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000014091 |OrdNumL2:1000000000020658 |OrdNumL3:2000000000014905 |OrdNumL4:2100000000015247 |M2M:334.55
2024-May-21 09:15:03 |NIFTY24523-22000-22500CE |TRDPARITY:335 |QTY:1 |ParityWas:85 |OpnCls:2 |OrdNumL1:1000000000020269 |OrdNumL2:1100000000014664 |OrdNumL3:2100000000015402 |OrdNumL4:2000000000015007 |M2M:393.80
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:100 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000017735 |OrdNumL2:1100000000018235 |OrdNumL3:2100000000019042 |OrdNumL4:2100000000019044 |M2M:402.05
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:125 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000018258 |OrdNumL2:1100000000018271 |OrdNumL3:2100000000019077 |OrdNumL4:2100000000019078 |M2M:416.55
2024-May-21 09:15:04 |NIFTY24523-22300-22550CE |TRDPARITY:290 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000018469 |OrdNumL2:1100000000018494 |OrdNumL3:2100000000019224 |OrdNumL4:2100000000019227 |M2M:500.30
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:180 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000018466 |OrdNumL2:1100000000018491 |OrdNumL3:2100000000019216 |OrdNumL4:2100000000019219 |M2M:500.30
2024-May-21 09:15:04 |NIFTY24523-22000-22500CE |TRDPARITY:250 |QTY:1 |ParityWas:180 |OpnCls:1 |OrdNumL1:1000000000026140 |OrdNumL2:1100000000020211 |OrdNumL3:2100000000021097 |OrdNumL4:2000000000020271 |M2M:546.80
2024-May-21 09:15:04 |NIFTY24523-22400-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000027685 |OrdNumL2:1000000000027700 |OrdNumL3:2000000000021413 |OrdNumL4:2000000000021415 |M2M:547.30
2024-May-21 09:15:05 |NIFTY24523-22300-22450CE |TRDPARITY:220 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000025712 |OrdNumL2:1000000000032273 |OrdNumL3:2000000000025925 |OrdNumL4:2100000000026557 |M2M:585.80
2024-May-21 09:15:05 |MIDCPNIFTY24MAY-11350-11300PE |TRDPARITY:305 |QTY:1 |ParityWas:90 |OpnCls:1 |OrdNumL1:1300000000011392 |OrdNumL2:1300000000013546 |OrdNumL3:1400000000014220 |OrdNumL4:1400000000014222 |M2M:784.55
2024-May-21 09:15:05 |NIFTY24523-22300-22500CE |TRDPARITY:80 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000028143 |OrdNumL2:1100000000028184 |OrdNumL3:2100000000028780 |OrdNumL4:2100000000028781 |M2M:787.80
2024-May-21 09:15:06 |NIFTY24523-22250-22450CE |TRDPARITY:170 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1000000000037410 |OrdNumL2:1000000000037910 |OrdNumL3:2000000000031798 |OrdNumL4:2000000000031799 |M2M:813.30
2024-May-21 09:15:07 |FINNIFTY24521-21300-21450CE |TRDPARITY:70 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000000247228 |OrdNumL2:1200000000247339 |OrdNumL3:1900000000224973 |OrdNumL4:1900000000224974 |M2M:823.70
2024-May-21 09:15:10 |FINNIFTY24521-21350-21400CE |TRDPARITY:55 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000000377093 |OrdNumL2:1200000000377244 |OrdNumL3:1900000000356079 |OrdNumL4:1900000000356080 |M2M:830.10
2024-May-21 09:15:11 |NIFTY24MAY-22000-22500CE |TRDPARITY:395 |QTY:1 |ParityWas:310 |OpnCls:1 |OrdNumL1:1200000000401489 |OrdNumL2:1200000000402767 |OrdNumL3:1200000000402768 |OrdNumL4:1200000000402769 |M2M:905.60
2024-May-21 09:15:11 |NIFTY24523-22350-22450CE |TRDPARITY:120 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1100000000059154 |OrdNumL2:1000000000064808 |OrdNumL3:2000000000060068 |OrdNumL4:2100000000060109 |M2M:922.60
2024-May-21 09:15:11 |NIFTY24523-22300-22500CE |TRDPARITY:110 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1100000000060725 |OrdNumL2:1100000000060727 |OrdNumL3:2100000000061303 |OrdNumL4:2100000000061304 |M2M:937.60
2024-May-21 09:15:12 |FINNIFTY24521-21750-21450PE |TRDPARITY:70 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1900000000416968 |OrdNumL2:1900000000417012 |OrdNumL3:1200000000442865 |OrdNumL4:1200000000442866 |M2M:942.80
2024-May-21 09:15:12 |FINNIFTY24521-21750-21450PE |TRDPARITY:70 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1900000000417021 |OrdNumL2:1900000000417058 |OrdNumL3:1200000000442881 |OrdNumL4:1200000000442882 |M2M:948.00
2024-May-21 09:15:20 |MIDCPNIFTY24MAY-11375-11350PE |TRDPARITY:65 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1300000000055748 |OrdNumL2:1300000000056942 |OrdNumL3:1400000000078939 |OrdNumL4:1400000000078941 |M2M:963.00
2024-May-21 09:15:21 |NIFTY24523-22050-22550CE |TRDPARITY:145 |QTY:1 |ParityWas:105 |OpnCls:1 |OrdNumL1:1000000000117975 |OrdNumL2:1100000000120026 |OrdNumL3:2100000000116617 |OrdNumL4:2000000000114552 |M2M:984.00
2024-May-21 09:15:21 |NIFTY24523-22050-22500CE |TRDPARITY:190 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000119701 |OrdNumL2:1100000000121915 |OrdNumL3:2100000000118697 |OrdNumL4:2000000000116465 |M2M:1015.25
2024-May-21 09:15:21 |NIFTY24523-22050-22500CE |TRDPARITY:185 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000120606 |OrdNumL2:1100000000122263 |OrdNumL3:2100000000118996 |OrdNumL4:2000000000116725 |M2M:1045.25
