--------------------2024-May-21 07:50:05------------------------------------
--------------------2024-May-21 08:38:29------------------------------------
2024-May-21 09:15:09 |FINNIFTY24521-21450-21500CE |TRDPARITY:40 |QTY:2 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000000330931 |OrdNumL2:1200000000330994 |OrdNumL3:1900000000315297 |OrdNumL4:1900000000315298 |M2M:8.80
2024-May-21 09:15:10 |FINNIFTY24521-21300-21450CE |TRDPARITY:55 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000000361030 |OrdNumL2:1200000000361072 |OrdNumL3:1900000000342635 |OrdNumL4:1900000000342636 |M2M:16.00
2024-May-21 09:15:11 |FINNIFTY24521-21300-21450CE |TRDPARITY:78 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000000407658 |OrdNumL2:1200000000407931 |OrdNumL3:1900000000381824 |OrdNumL4:1900000000381826 |M2M:41.60
2024-May-21 09:15:12 |FINNIFTY24521-21600-21550PE |TRDPARITY:40 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000000413410 |OrdNumL2:1900000000413417 |OrdNumL3:1200000000439722 |OrdNumL4:1200000000439724 |M2M:91.20
2024-May-21 09:15:12 |FINNIFTY24521-21800-21500PE |TRDPARITY:98 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1900000000408206 |OrdNumL2:1900000000413429 |OrdNumL3:1200000000439726 |OrdNumL4:1200000000439727 |M2M:91.20
2024-May-21 09:15:12 |FINNIFTY24521-21800-21500PE |TRDPARITY:107 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1900000000413448 |OrdNumL2:1900000000413480 |OrdNumL3:1200000000439771 |OrdNumL4:1200000000439772 |M2M:145.60
2024-May-21 09:15:12 |FINNIFTY24521-21600-21550PE |TRDPARITY:0 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000000413435 |OrdNumL2:1900000000413575 |OrdNumL3:1200000000439852 |OrdNumL4:1200000000439853 |M2M:130.80
2024-May-21 09:15:13 |FINNIFTY24521-21400-21500CE |TRDPARITY:218 |QTY:2 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000000450698 |OrdNumL2:1200000000451007 |OrdNumL3:1900000000425525 |OrdNumL4:1900000000425555 |M2M:281.20
2024-May-21 09:15:13 |FINNIFTY24521-21150-21500CE |TRDPARITY:2810 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000000480347 |OrdNumL2:1200000000480863 |OrdNumL3:1900000000457907 |OrdNumL4:1900000000457913 |M2M:1390.00
2024-May-21 09:15:14 |FINNIFTY24521-21250-21500CE |TRDPARITY:50 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000000483386 |OrdNumL2:1200000000483881 |OrdNumL3:1900000000461567 |OrdNumL4:1900000000461569 |M2M:1396.00
2024-May-21 09:15:14 |FINNIFTY24521-21750-21500PE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1900000000474841 |OrdNumL2:1900000000475194 |OrdNumL3:1200000000497430 |OrdNumL4:1200000000497431 |M2M:1394.80
2024-May-21 09:15:15 |FINNIFTY24521-21600-21500PE |TRDPARITY:40 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000000496768 |OrdNumL2:1900000000496803 |OrdNumL3:1200000000522912 |OrdNumL4:1200000000522913 |M2M:1392.80
2024-May-21 09:15:15 |FINNIFTY24521-21600-21500PE |TRDPARITY:33 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000000496823 |OrdNumL2:1900000000496832 |OrdNumL3:1200000000522966 |OrdNumL4:1200000000522967 |M2M:1392.80
2024-May-21 09:15:15 |FINNIFTY24521-21350-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000000532238 |OrdNumL2:1200000000534399 |OrdNumL3:1900000000508300 |OrdNumL4:1900000000508301 |M2M:1394.80
2024-May-21 09:15:15 |FINNIFTY24521-21350-21450CE |TRDPARITY:30 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000000534437 |OrdNumL2:1200000000534597 |OrdNumL3:1900000000508489 |OrdNumL4:1900000000508490 |M2M:1386.80
2024-May-21 09:15:15 |FINNIFTY24521-21350-21450CE |TRDPARITY:20 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000000534807 |OrdNumL2:1200000000534965 |OrdNumL3:1900000000508774 |OrdNumL4:1900000000508775 |M2M:1370.80
2024-May-21 09:15:20 |FINNIFTY24521-21600-21500PE |TRDPARITY:30 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000000646237 |OrdNumL2:1900000000647072 |OrdNumL3:1200000000669763 |OrdNumL4:1200000000669764 |M2M:1365.20
2024-May-21 09:15:22 |BANKNIFTY24MAY-47600-48500CE |TRDPARITY:620 |QTY:2 |ParityWas:250 |OpnCls:2 |OrdNumL1:1400000000078403 |OrdNumL2:1400000000083830 |OrdNumL3:1400000000083832 |OrdNumL4:1400000000083833 |M2M:1475.30
2024-May-21 09:15:26 |FINNIFTY24521-21300-21500CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000000858576 |OrdNumL2:1200000000859431 |OrdNumL3:1900000000829592 |OrdNumL4:1900000000829593 |M2M:1476.90
2024-May-21 09:15:30 |FINNIFTY24521-21600-21500PE |TRDPARITY:10 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000000922861 |OrdNumL2:1900000000923366 |OrdNumL3:1200000000965600 |OrdNumL4:1200000000965601 |M2M:1455.30
2024-May-21 09:15:30 |FINNIFTY24521-21300-21550CE |TRDPARITY:20 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000000973941 |OrdNumL2:1200000000974617 |OrdNumL3:1900000000931122 |OrdNumL4:1900000000931123 |M2M:1432.90
