--------------------2024-May-21 07:54:07------------------------------------
2024-May-21 09:15:02 |BANKNIFTY24522-48500-48100PE |TRDPARITY:240 |QTY:2 |ParityWas:205 |OpnCls:1 |OrdNumL1:1800000000011271 |OrdNumL2:1800000000011282 |OrdNumL3:1600000000010925 |OrdNumL4:1600000000010927 |M2M:43.20
2024-May-21 09:15:15 |BANKNIFTY24522-47500-48000CE |TRDPARITY:285 |QTY:1 |ParityWas:200 |OpnCls:1 |OrdNumL1:1600000000126936 |OrdNumL2:1500000000141760 |OrdNumL3:1700000000141766 |OrdNumL4:1800000000129627 |M2M:67.50
2024-May-21 09:15:15 |BANKNIFTY24522-47500-48100CE |TRDPARITY:240 |QTY:1 |ParityWas:195 |OpnCls:1 |OrdNumL1:1600000000127026 |OrdNumL2:1600000000127056 |OrdNumL3:1800000000129747 |OrdNumL4:1800000000129748 |M2M:85.80
2024-May-21 09:15:15 |BANKNIFTY24522-47500-48100CE |TRDPARITY:245 |QTY:1 |ParityWas:195 |OpnCls:1 |OrdNumL1:1600000000127065 |OrdNumL2:1600000000127120 |OrdNumL3:1800000000129838 |OrdNumL4:1800000000129839 |M2M:104.85
2024-May-21 09:15:15 |BANKNIFTY24522-47500-48100CE |TRDPARITY:250 |QTY:1 |ParityWas:215 |OpnCls:1 |OrdNumL1:1600000000127136 |OrdNumL2:1600000000127152 |OrdNumL3:1800000000129860 |OrdNumL4:1800000000129861 |M2M:124.65
2024-May-21 09:15:19 |BANKNIFTY24522-47000-47900CE |TRDPARITY:232 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1500000000178245 |OrdNumL2:1600000000164546 |OrdNumL3:1800000000169554 |OrdNumL4:1700000000184001 |M2M:129.15
2024-May-21 09:15:24 |BANKNIFTY24522-47000-47900CE |TRDPARITY:140 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1500000000223988 |OrdNumL2:1600000000205540 |OrdNumL3:1800000000213256 |OrdNumL4:1700000000230224 |M2M:117.60
2024-May-21 09:15:26 |BANKNIFTY24522-47000-47900CE |TRDPARITY:190 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1500000000240510 |OrdNumL2:1600000000221067 |OrdNumL3:1800000000229015 |OrdNumL4:1700000000247037 |M2M:113.55
2024-May-21 09:15:28 |BANKNIFTY24522-48800-48000PE |TRDPARITY:135 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1700000000269798 |OrdNumL2:1700000000269822 |OrdNumL3:1500000000264672 |OrdNumL4:1500000000264673 |M2M:105.15
2024-May-21 09:15:31 |BANKNIFTY24522-47000-48100CE |TRDPARITY:225 |QTY:1 |ParityWas:135 |OpnCls:2 |OrdNumL1:1500000000294571 |OrdNumL2:1600000000270531 |OrdNumL3:1800000000279808 |OrdNumL4:1700000000300433 |M2M:106.05
2024-May-21 09:15:44 |BANKNIFTY24522-48600-48100PE |TRDPARITY:195 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1700000000420700 |OrdNumL2:1800000000394396 |OrdNumL3:1600000000386890 |OrdNumL4:1500000000419395 |M2M:123.75
