--------------------2024-May-21 07:52:08------------------------------------
2024-May-21 09:15:03 |NIFTY24523-23000-22600PE |TRDPARITY:220 |QTY:2 |ParityWas:195 |OpnCls:1 |OrdNumL1:2000000000017251 |OrdNumL2:2000000000017341 |OrdNumL3:1000000000023329 |OrdNumL4:1000000000023330 |M2M:77.00
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:95 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000017730 |OrdNumL2:1100000000018233 |OrdNumL3:2100000000019047 |OrdNumL4:2100000000019048 |M2M:91.50
2024-May-21 09:15:04 |NIFTY24523-22300-22600CE |TRDPARITY:385 |QTY:2 |ParityWas:75 |OpnCls:2 |OrdNumL1:1100000000018471 |OrdNumL2:1000000000024520 |OrdNumL3:2000000000018563 |OrdNumL4:2100000000019235 |M2M:304.50
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:175 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000018470 |OrdNumL2:1100000000018492 |OrdNumL3:2100000000019225 |OrdNumL4:2100000000019226 |M2M:304.50
2024-May-21 09:15:04 |NIFTY24523-22600-22400PE |TRDPARITY:495 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:2000000000018234 |OrdNumL2:2000000000019904 |OrdNumL3:1000000000026014 |OrdNumL4:1000000000026016 |M2M:521.00
2024-May-21 09:15:04 |NIFTY24523-22700-22600PE |TRDPARITY:125 |QTY:2 |ParityWas:115 |OpnCls:1 |OrdNumL1:2100000000018704 |OrdNumL2:2000000000020168 |OrdNumL3:1000000000026223 |OrdNumL4:1100000000020114 |M2M:559.00
2024-May-21 09:15:04 |NIFTY24523-22050-22400CE |TRDPARITY:260 |QTY:1 |ParityWas:180 |OpnCls:1 |OrdNumL1:1000000000026468 |OrdNumL2:1000000000026587 |OrdNumL3:2000000000020493 |OrdNumL4:2000000000020494 |M2M:607.00
2024-May-21 09:15:04 |NIFTY24523-22400-22600CE |TRDPARITY:215 |QTY:2 |ParityWas:70 |OpnCls:2 |OrdNumL1:1000000000026098 |OrdNumL2:1000000000027088 |OrdNumL3:2000000000020870 |OrdNumL4:2000000000020871 |M2M:683.50
2024-May-21 09:15:05 |FINNIFTY24521-21400-21550CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000000199122 |OrdNumL2:1200000000199297 |OrdNumL3:1900000000180428 |OrdNumL4:1900000000180429 |M2M:695.50
2024-May-21 09:15:06 |FINNIFTY24521-21450-21550CE |TRDPARITY:45 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000000239020 |OrdNumL2:1200000000239086 |OrdNumL3:1900000000217727 |OrdNumL4:1900000000217728 |M2M:701.10
2024-May-21 09:15:07 |FINNIFTY24521-21300-21450CE |TRDPARITY:120 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000000264235 |OrdNumL2:1200000000264244 |OrdNumL3:1900000000242656 |OrdNumL4:1900000000242657 |M2M:730.70
