--------------------2024-May-21 07:50:09------------------------------------
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:290 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000000010624 |OrdNumL2:1000000000010669 |OrdNumL3:2000000000005706 |OrdNumL4:2000000000005707 |M2M:59.00
2024-May-21 09:15:01 |NIFTY24523-22400-22500CE |TRDPARITY:170 |QTY:3 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000000010874 |OrdNumL2:1100000000005439 |OrdNumL3:2100000000006273 |OrdNumL4:2000000000005991 |M2M:145.25
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:165 |QTY:3 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000000012060 |OrdNumL2:1000000000012464 |OrdNumL3:2000000000007205 |OrdNumL4:2000000000007208 |M2M:228.50
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:108 |QTY:3 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000000012472 |OrdNumL2:1000000000012506 |OrdNumL3:2000000000007251 |OrdNumL4:2000000000007252 |M2M:269.00
2024-May-21 09:15:03 |NIFTY24MAY-22600-22450PE |TRDPARITY:-564 |QTY:3 |ParityWas:195 |OpnCls:1 |OrdNumL1:1200000000117755 |OrdNumL2:1200000000120537 |OrdNumL3:1200000000120535 |OrdNumL4:1200000000120538 |M2M:-211.75
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:202 |QTY:3 |ParityWas:85 |OpnCls:2 |OrdNumL1:1100000000017722 |OrdNumL2:1100000000017783 |OrdNumL3:2100000000018605 |OrdNumL4:2100000000018607 |M2M:-109.75
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:95 |QTY:3 |ParityWas:85 |OpnCls:2 |OrdNumL1:1100000000017787 |OrdNumL2:1100000000018236 |OrdNumL3:2100000000019043 |OrdNumL4:2100000000019046 |M2M:-88.00
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:238 |QTY:3 |ParityWas:85 |OpnCls:2 |OrdNumL1:1100000000018459 |OrdNumL2:1100000000018486 |OrdNumL3:2100000000019206 |OrdNumL4:2100000000019207 |M2M:41.00
2024-May-21 09:15:04 |NIFTY24523-22600-22400PE |TRDPARITY:515 |QTY:3 |ParityWas:80 |OpnCls:2 |OrdNumL1:2000000000018249 |OrdNumL2:2000000000019900 |OrdNumL3:1000000000026003 |OrdNumL4:1000000000026009 |M2M:382.25
2024-May-21 09:15:04 |NIFTY24523-22000-22500CE |TRDPARITY:320 |QTY:3 |ParityWas:190 |OpnCls:1 |OrdNumL1:1000000000023967 |OrdNumL2:1100000000020213 |OrdNumL3:2100000000021099 |OrdNumL4:2000000000020273 |M2M:1127.00
2024-May-21 09:15:04 |NIFTY24523-22000-22450CE |TRDPARITY:805 |QTY:3 |ParityWas:190 |OpnCls:1 |OrdNumL1:1000000000021585 |OrdNumL2:1000000000026324 |OrdNumL3:2000000000020285 |OrdNumL4:2000000000020288 |M2M:1127.00
