--------------------2024-May-21 07:52:07------------------------------------
2024-May-21 09:15:04 |BANKNIFTY24522-47400-48100CE |TRDPARITY:139 |QTY:3 |ParityWas:155 |OpnCls:2 |OrdNumL1:1500000000025573 |OrdNumL2:1600000000026354 |OrdNumL3:1800000000025731 |OrdNumL4:1700000000025515 |M2M:-8.55
2024-May-21 09:15:05 |BANKNIFTY24MAY-47500-48500CE |TRDPARITY:1345 |QTY:2 |ParityWas:270 |OpnCls:2 |OrdNumL1:1400000000015215 |OrdNumL2:1400000000015276 |OrdNumL3:1400000000015277 |OrdNumL4:1400000000015278 |M2M:316.95
2024-May-21 09:15:06 |BANKNIFTY24522-48400-48000PE |TRDPARITY:185 |QTY:2 |ParityWas:155 |OpnCls:1 |OrdNumL1:1700000000041296 |OrdNumL2:1700000000041305 |OrdNumL3:1500000000043309 |OrdNumL4:1500000000043310 |M2M:343.05
2024-May-21 09:15:09 |BANKNIFTY24522-48000-48100CE |TRDPARITY:155 |QTY:3 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000000075183 |OrdNumL2:1600000000066990 |OrdNumL3:1800000000069073 |OrdNumL4:1700000000074783 |M2M:360.60
2024-May-21 09:15:09 |BANKNIFTY24522-47500-48100CE |TRDPARITY:280 |QTY:1 |ParityWas:160 |OpnCls:2 |OrdNumL1:1600000000066911 |OrdNumL2:1600000000067080 |OrdNumL3:1800000000069237 |OrdNumL4:1800000000069238 |M2M:378.75
2024-May-21 09:15:15 |BANKNIFTY24522-47500-48200CE |TRDPARITY:300 |QTY:1 |ParityWas:255 |OpnCls:1 |OrdNumL1:1600000000126951 |OrdNumL2:1500000000141794 |OrdNumL3:1700000000141802 |OrdNumL4:1800000000129654 |M2M:406.95
2024-May-21 09:15:15 |BANKNIFTY24522-47500-48200CE |TRDPARITY:320 |QTY:1 |ParityWas:255 |OpnCls:1 |OrdNumL1:1600000000127135 |OrdNumL2:1500000000141912 |OrdNumL3:1700000000142021 |OrdNumL4:1800000000129856 |M2M:438.15
2024-May-21 09:15:49 |BANKNIFTY24MAY-47700-48200CE |TRDPARITY:383 |QTY:4 |ParityWas:210 |OpnCls:2 |OrdNumL1:1400000000198764 |OrdNumL2:1400000000199794 |OrdNumL3:1400000000199796 |OrdNumL4:1400000000199797 |M2M:528.15
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48100PE |TRDPARITY:365 |QTY:3 |ParityWas:240 |OpnCls:1 |OrdNumL1:1800000000543650 |OrdNumL2:1800000000545172 |OrdNumL3:1600000000543194 |OrdNumL4:1600000000543197 |M2M:784.65
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48000PE |TRDPARITY:415 |QTY:3 |ParityWas:255 |OpnCls:1 |OrdNumL1:1800000000543651 |OrdNumL2:1700000000574836 |OrdNumL3:1500000000579054 |OrdNumL4:1600000000543208 |M2M:784.65
2024-May-21 09:16:02 |BANKNIFTY24MAY-47700-48400CE |TRDPARITY:615 |QTY:1 |ParityWas:220 |OpnCls:2 |OrdNumL1:1400000000255777 |OrdNumL2:1400000000256970 |OrdNumL3:1400000000256971 |OrdNumL4:1400000000256974 |M2M:841.05
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48100CE |TRDPARITY:280 |QTY:2 |ParityWas:200 |OpnCls:2 |OrdNumL1:1500000000971259 |OrdNumL2:1600000000925069 |OrdNumL3:1800000000952277 |OrdNumL4:1700000000978991 |M2M:867.15
2024-May-21 09:16:57 |BANKNIFTY24522-49000-48500PE |TRDPARITY:315 |QTY:3 |ParityWas:305 |OpnCls:1 |OrdNumL1:1700000001162032 |OrdNumL2:1800000001132762 |OrdNumL3:1600000001085694 |OrdNumL4:1500000001145677 |M2M:970.95
2024-May-21 09:16:57 |BANKNIFTY24522-49000-48500PE |TRDPARITY:315 |QTY:1 |ParityWas:305 |OpnCls:1 |OrdNumL1:1700000001162033 |OrdNumL2:1800000001132765 |OrdNumL3:1600000001085695 |OrdNumL4:1500000001145678 |M2M:970.95
2024-May-21 09:17:10 |BANKNIFTY24522-49000-48000PE |TRDPARITY:305 |QTY:1 |ParityWas:315 |OpnCls:1 |OrdNumL1:1700000001327406 |OrdNumL2:1700000001327464 |OrdNumL3:1500000001306813 |OrdNumL4:1500000001306814 |M2M:998.85
2024-May-21 09:17:27 |BANKNIFTY24522-48500-48100PE |TRDPARITY:110 |QTY:1 |ParityWas:105 |OpnCls:2 |OrdNumL1:1800000001482064 |OrdNumL2:1800000001482125 |OrdNumL3:1600000001440973 |OrdNumL4:1600000001440974 |M2M:996.15
2024-May-21 09:17:31 |BANKNIFTY24522-47800-48000CE |TRDPARITY:135 |QTY:1 |ParityWas:135 |OpnCls:2 |OrdNumL1:1500000001536279 |OrdNumL2:1500000001536368 |OrdNumL3:1700000001568788 |OrdNumL4:1700000001568789 |M2M:997.80
