--------------------2024-May-21 07:45:05------------------------------------
2024-May-21 09:15:02 |BANKNIFTY24522-48500-48100PE |TRDPARITY:228 |QTY:3 |ParityWas:190 |OpnCls:1 |OrdNumL1:1800000000011261 |OrdNumL2:1800000000011283 |OrdNumL3:1600000000010926 |OrdNumL4:1600000000010928 |M2M:59.40
2024-May-21 09:15:02 |FINNIFTY24521-21350-21500CE |TRDPARITY:-40 |QTY:3 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000000089066 |OrdNumL2:1200000000089687 |OrdNumL3:1900000000078649 |OrdNumL4:1900000000078650 |M2M:-34.20
2024-May-21 09:15:03 |BANKNIFTY24522-47700-47900CE |TRDPARITY:240 |QTY:3 |ParityWas:150 |OpnCls:2 |OrdNumL1:1600000000021959 |OrdNumL2:1600000000021977 |OrdNumL3:1800000000022240 |OrdNumL4:1800000000022243 |M2M:15.75
2024-May-21 09:15:04 |BANKNIFTY24522-47500-48000CE |TRDPARITY:614 |QTY:3 |ParityWas:170 |OpnCls:2 |OrdNumL1:1600000000023428 |OrdNumL2:1500000000025777 |OrdNumL3:1700000000023233 |OrdNumL4:1800000000023731 |M2M:224.10
2024-May-21 09:15:05 |MIDCPNIFTY24MAY-11350-11300PE |TRDPARITY:-430 |QTY:1 |ParityWas:65 |OpnCls:1 |OrdNumL1:1300000000010588 |OrdNumL2:1300000000013555 |OrdNumL3:1400000000014231 |OrdNumL4:1400000000014235 |M2M:-128.40
2024-May-21 09:15:09 |BANKNIFTY24522-47600-48000CE |TRDPARITY:574 |QTY:3 |ParityWas:165 |OpnCls:2 |OrdNumL1:1500000000068671 |OrdNumL2:1500000000068836 |OrdNumL3:1700000000068754 |OrdNumL4:1700000000068755 |M2M:64.65
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:150 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000448230 |OrdNumL2:1900000000448433 |OrdNumL3:1200000000472085 |OrdNumL4:1200000000472090 |M2M:109.45
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:125 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000448458 |OrdNumL2:1900000000448833 |OrdNumL3:1200000000472815 |OrdNumL4:1200000000472818 |M2M:144.25
2024-May-21 09:15:15 |BANKNIFTY24522-47500-48000CE |TRDPARITY:285 |QTY:1 |ParityWas:240 |OpnCls:1 |OrdNumL1:1600000000126953 |OrdNumL2:1500000000141805 |OrdNumL3:1700000000141808 |OrdNumL4:1800000000129665 |M2M:168.40
2024-May-21 09:15:15 |BANKNIFTY24522-47500-48100CE |TRDPARITY:225 |QTY:2 |ParityWas:235 |OpnCls:1 |OrdNumL1:1600000000127141 |OrdNumL2:1600000000127245 |OrdNumL3:1800000000129923 |OrdNumL4:1800000000129924 |M2M:200.50
2024-May-21 09:15:24 |FINNIFTY24521-21850-21550PE |TRDPARITY:305 |QTY:1 |ParityWas:75 |OpnCls:2 |OrdNumL1:1900000000731371 |OrdNumL2:1900000000780780 |OrdNumL3:1200000000807462 |OrdNumL4:1200000000807463 |M2M:296.10
