--------------------2024-May-21 07:50:05------------------------------------
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:-400 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000010631 |OrdNumL2:1000000000012083 |OrdNumL3:2000000000006999 |OrdNumL4:2000000000007000 |M2M:-283.75
2024-May-21 09:15:01 |NIFTY24523-22400-22500CE |TRDPARITY:-285 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000010877 |OrdNumL2:1100000000006520 |OrdNumL3:2100000000007414 |OrdNumL4:2000000000007002 |M2M:-283.75
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:175 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000012087 |OrdNumL2:1000000000012465 |OrdNumL3:2000000000007204 |OrdNumL4:2000000000007207 |M2M:-222.75
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:130 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000000012471 |OrdNumL2:1000000000012487 |OrdNumL3:2000000000007231 |OrdNumL4:2000000000007232 |M2M:-203.50
2024-May-21 09:15:01 |NIFTY24523-22400-22550CE |TRDPARITY:185 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000012558 |OrdNumL2:1100000000006852 |OrdNumL3:2100000000007704 |OrdNumL4:2000000000007342 |M2M:-171.50
2024-May-21 09:15:02 |FINNIFTY24521-21350-21500CE |TRDPARITY:20 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000000089030 |OrdNumL2:1200000000089686 |OrdNumL3:1900000000078647 |OrdNumL4:1900000000078648 |M2M:-185.90
2024-May-21 09:15:03 |NIFTY24523-22000-22500CE |TRDPARITY:385 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1000000000015763 |OrdNumL2:1100000000014665 |OrdNumL3:2100000000015403 |OrdNumL4:2000000000015012 |M2M:-42.40
2024-May-21 09:15:03 |NIFTY24MAY-22600-22450PE |TRDPARITY:163 |QTY:2 |ParityWas:185 |OpnCls:1 |OrdNumL1:1200000000118592 |OrdNumL2:1200000000120536 |OrdNumL3:1200000000120534 |OrdNumL4:1200000000120539 |M2M:0.60
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:225 |QTY:2 |ParityWas:80 |OpnCls:2 |OrdNumL1:1100000000017723 |OrdNumL2:1100000000017798 |OrdNumL3:2100000000018623 |OrdNumL4:2100000000018624 |M2M:80.10
2024-May-21 09:15:04 |NIFTY24523-22300-22500CE |TRDPARITY:192 |QTY:2 |ParityWas:80 |OpnCls:2 |OrdNumL1:1100000000018465 |OrdNumL2:1100000000018490 |OrdNumL3:2100000000019214 |OrdNumL4:2100000000019215 |M2M:143.10
2024-May-21 09:15:04 |NIFTY24523-22600-22500PE |TRDPARITY:180 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:2000000000020050 |OrdNumL2:2100000000020827 |OrdNumL3:1100000000020003 |OrdNumL4:1000000000026113 |M2M:206.60
2024-May-21 09:15:04 |NIFTY24523-22400-22450CE |TRDPARITY:-45 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000027639 |OrdNumL2:1000000000027702 |OrdNumL3:2000000000021417 |OrdNumL4:2000000000021418 |M2M:155.10
2024-May-21 09:15:05 |NIFTY24523-22300-22450CE |TRDPARITY:220 |QTY:2 |ParityWas:80 |OpnCls:2 |OrdNumL1:1100000000025711 |OrdNumL2:1000000000032274 |OrdNumL3:2000000000025926 |OrdNumL4:2100000000026558 |M2M:232.10
2024-May-21 09:15:05 |MIDCPNIFTY24MAY-11350-11300PE |TRDPARITY:-430 |QTY:2 |ParityWas:60 |OpnCls:1 |OrdNumL1:1300000000010583 |OrdNumL2:1300000000013557 |OrdNumL3:1400000000014234 |OrdNumL4:1400000000014236 |M2M:142.10
2024-May-21 09:15:05 |MIDCPNIFTY24MAY-11350-11325PE |TRDPARITY:860 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1300000000013607 |OrdNumL2:1300000000013623 |OrdNumL3:1400000000014372 |OrdNumL4:1400000000014373 |M2M:142.10
2024-May-21 09:15:06 |FINNIFTY24521-21350-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000000213037 |OrdNumL2:1200000000213768 |OrdNumL3:1900000000195532 |OrdNumL4:1900000000195533 |M2M:148.10
2024-May-21 09:15:06 |NIFTY24523-22250-22450CE |TRDPARITY:170 |QTY:2 |ParityWas:80 |OpnCls:2 |OrdNumL1:1000000000037411 |OrdNumL2:1000000000037911 |OrdNumL3:2000000000031800 |OrdNumL4:2000000000031801 |M2M:199.10
2024-May-21 09:15:07 |NIFTY24MAY-22400-22450CE |TRDPARITY:290 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1200000000240817 |OrdNumL2:1200000000240900 |OrdNumL3:1200000000240902 |OrdNumL4:1200000000240903 |M2M:298.60
2024-May-21 09:15:07 |NIFTY24MAY-22400-22450CE |TRDPARITY:217 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1200000000240930 |OrdNumL2:1200000000242783 |OrdNumL3:1200000000242785 |OrdNumL4:1200000000242787 |M2M:361.60
2024-May-21 09:15:09 |NIFTY24MAY-22400-22450CE |TRDPARITY:170 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1200000000335265 |OrdNumL2:1200000000336424 |OrdNumL3:1200000000336425 |OrdNumL4:1200000000336426 |M2M:381.60
2024-May-21 09:15:10 |FINNIFTY24521-21350-21450CE |TRDPARITY:40 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000000376705 |OrdNumL2:1200000000376844 |OrdNumL3:1900000000355790 |OrdNumL4:1900000000355793 |M2M:381.60
2024-May-21 09:15:12 |FINNIFTY24521-21350-21450CE |TRDPARITY:20 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000000443365 |OrdNumL2:1200000000444564 |OrdNumL3:1900000000418506 |OrdNumL4:1900000000418507 |M2M:365.60
2024-May-21 09:15:24 |NIFTY24523-22050-22500CE |TRDPARITY:187 |QTY:2 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000137488 |OrdNumL2:1100000000141028 |OrdNumL3:2100000000135879 |OrdNumL4:2000000000133525 |M2M:426.60
2024-May-21 09:15:24 |NIFTY24523-22050-22500CE |TRDPARITY:210 |QTY:2 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000138312 |OrdNumL2:1100000000141739 |OrdNumL3:2100000000136527 |OrdNumL4:2000000000134275 |M2M:499.10
2024-May-21 09:15:27 |NIFTY24523-22400-22450CE |TRDPARITY:63 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000157224 |OrdNumL2:1000000000157251 |OrdNumL3:2000000000151053 |OrdNumL4:2000000000151054 |M2M:500.60
2024-May-21 09:15:29 |NIFTY24523-21900-22500CE |TRDPARITY:165 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1100000000168789 |OrdNumL2:1100000000173435 |OrdNumL3:2100000000163493 |OrdNumL4:2100000000163494 |M2M:513.60
2024-May-21 09:15:29 |NIFTY24523-22100-22550CE |TRDPARITY:190 |QTY:2 |ParityWas:165 |OpnCls:1 |OrdNumL1:1100000000175554 |OrdNumL2:1100000000176442 |OrdNumL3:2100000000165874 |OrdNumL4:2100000000165878 |M2M:578.60
2024-May-21 09:15:56 |FINNIFTY24521-21300-21450CE |TRDPARITY:60 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001580424 |OrdNumL2:1200000001585089 |OrdNumL3:1900000001457016 |OrdNumL4:1900000001457020 |M2M:592.20
2024-May-21 09:15:59 |NIFTY24523-22300-22500CE |TRDPARITY:105 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1100000000398067 |OrdNumL2:1100000000398182 |OrdNumL3:2100000000353861 |OrdNumL4:2100000000353862 |M2M:604.45
2024-May-21 09:16:02 |NIFTY24523-22300-22550CE |TRDPARITY:100 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1100000000427864 |OrdNumL2:1100000000427909 |OrdNumL3:2100000000379553 |OrdNumL4:2100000000379554 |M2M:616.45
2024-May-21 09:16:08 |NIFTY24523-22050-22500CE |TRDPARITY:180 |QTY:1 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000456967 |OrdNumL2:1100000000486205 |OrdNumL3:2100000000432567 |OrdNumL4:2000000000427877 |M2M:645.20
2024-May-21 09:16:22 |NIFTY24523-22400-22600CE |TRDPARITY:75 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000556244 |OrdNumL2:1000000000556343 |OrdNumL3:2000000000525161 |OrdNumL4:2000000000525162 |M2M:648.45
2024-May-21 09:16:22 |NIFTY24523-22400-22600CE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000000556345 |OrdNumL2:1000000000556419 |OrdNumL3:2000000000525257 |OrdNumL4:2000000000525258 |M2M:649.20
2024-May-21 09:17:03 |FINNIFTY24521-21800-21500PE |TRDPARITY:35 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1900000002848665 |OrdNumL2:1900000002850194 |OrdNumL3:1200000003083516 |OrdNumL4:1200000003083517 |M2M:639.20
2024-May-21 09:17:04 |FINNIFTY24521-21800-21500PE |TRDPARITY:70 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1900000002876966 |OrdNumL2:1900000002879081 |OrdNumL3:1200000003113575 |OrdNumL4:1200000003113577 |M2M:647.20
2024-May-21 09:17:21 |NIFTY24523-22400-22500CE |TRDPARITY:87 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000000980292 |OrdNumL2:1100000001051969 |OrdNumL3:2100000000979537 |OrdNumL4:2000000000976400 |M2M:665.20
2024-May-21 09:17:27 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001025575 |OrdNumL2:1100000001100069 |OrdNumL3:2100000001027258 |OrdNumL4:2000000001024135 |M2M:689.70
