--------------------2024-May-21 07:50:07------------------------------------
2024-May-21 09:15:02 |NIFTY24523-22400-22450CE |TRDPARITY:295 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000000015015 |OrdNumL2:1000000000015380 |OrdNumL3:2000000000009424 |OrdNumL4:2000000000009425 |M2M:60.25
2024-May-21 09:15:03 |NIFTY24523-22300-22500CE |TRDPARITY:640 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000014090 |OrdNumL2:1100000000014546 |OrdNumL3:2100000000015241 |OrdNumL4:2100000000015243 |M2M:203.50
2024-May-21 09:15:03 |NIFTY24523-22000-22500CE |TRDPARITY:500 |QTY:1 |ParityWas:95 |OpnCls:2 |OrdNumL1:1000000000020528 |OrdNumL2:1100000000014661 |OrdNumL3:2100000000015400 |OrdNumL4:2000000000015004 |M2M:347.25
2024-May-21 09:15:03 |NIFTY24523-22000-22400CE |TRDPARITY:270 |QTY:1 |ParityWas:95 |OpnCls:2 |OrdNumL1:1000000000020579 |OrdNumL2:1000000000020799 |OrdNumL3:2000000000015009 |OrdNumL4:2000000000015011 |M2M:347.25
2024-May-21 09:15:04 |NIFTY24523-22000-22500CE |TRDPARITY:295 |QTY:1 |ParityWas:160 |OpnCls:1 |OrdNumL1:1000000000026231 |OrdNumL2:1100000000020216 |OrdNumL3:2100000000021102 |OrdNumL4:2000000000020281 |M2M:478.25
2024-May-21 09:15:04 |NIFTY24523-22000-22400CE |TRDPARITY:365 |QTY:1 |ParityWas:165 |OpnCls:1 |OrdNumL1:1000000000026200 |OrdNumL2:1000000000026319 |OrdNumL3:2000000000020276 |OrdNumL4:2000000000020279 |M2M:478.25
2024-May-21 09:15:04 |NIFTY24523-22100-22400CE |TRDPARITY:370 |QTY:1 |ParityWas:160 |OpnCls:1 |OrdNumL1:1100000000020772 |OrdNumL2:1000000000027082 |OrdNumL3:2000000000020865 |OrdNumL4:2100000000021708 |M2M:554.50
2024-May-21 09:15:05 |NIFTY24523-22300-22450CE |TRDPARITY:220 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1100000000025713 |OrdNumL2:1000000000032272 |OrdNumL3:2000000000025927 |OrdNumL4:2100000000026559 |M2M:593.00
2024-May-21 09:15:11 |NIFTY24MAY-22300-22600CE |TRDPARITY:245 |QTY:2 |ParityWas:100 |OpnCls:2 |OrdNumL1:1200000000391366 |OrdNumL2:1200000000394773 |OrdNumL3:1200000000394775 |OrdNumL4:1200000000394777 |M2M:665.00
2024-May-21 09:15:14 |NIFTY24523-22000-22400CE |TRDPARITY:430 |QTY:2 |ParityWas:165 |OpnCls:1 |OrdNumL1:1000000000078566 |OrdNumL2:1000000000081508 |OrdNumL3:2000000000076292 |OrdNumL4:2000000000076293 |M2M:845.00
2024-May-21 09:15:23 |NIFTY24523-22050-22500CE |TRDPARITY:190 |QTY:1 |ParityWas:170 |OpnCls:1 |OrdNumL1:1000000000126006 |OrdNumL2:1100000000129841 |OrdNumL3:2100000000126124 |OrdNumL4:2000000000123736 |M2M:876.25
2024-May-21 09:15:50 |NIFTY24523-21800-22550CE |TRDPARITY:210 |QTY:2 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000310730 |OrdNumL2:1100000000336003 |OrdNumL3:2100000000301748 |OrdNumL4:2000000000298084 |M2M:942.75
2024-May-21 09:16:02 |NIFTY24523-22350-22500CE |TRDPARITY:110 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1100000000425819 |OrdNumL2:1100000000425848 |OrdNumL3:2100000000377957 |OrdNumL4:2100000000377958 |M2M:957.25
2024-May-21 09:16:08 |NIFTY24523-22050-22500CE |TRDPARITY:180 |QTY:2 |ParityWas:175 |OpnCls:1 |OrdNumL1:1000000000456966 |OrdNumL2:1100000000486204 |OrdNumL3:2100000000432566 |OrdNumL4:2000000000427876 |M2M:1014.75
2024-May-21 09:16:50 |NIFTY24523-22700-22500PE |TRDPARITY:65 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000000715878 |OrdNumL2:2100000000715962 |OrdNumL3:1100000000785226 |OrdNumL4:1100000000785227 |M2M:1015.75
2024-May-21 09:16:55 |NIFTY24523-22700-22450PE |TRDPARITY:32 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:2100000000756751 |OrdNumL2:2000000000752126 |OrdNumL3:1000000000767125 |OrdNumL4:1100000000823901 |M2M:999.75
2024-May-21 09:16:55 |NIFTY24523-22700-22500PE |TRDPARITY:75 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000000760492 |OrdNumL2:2100000000760677 |OrdNumL3:1100000000827331 |OrdNumL4:1100000000827332 |M2M:1005.75
2024-May-21 09:17:27 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:2 |ParityWas:90 |OpnCls:1 |OrdNumL1:1000000001026759 |OrdNumL2:1100000001101235 |OrdNumL3:2100000001028322 |OrdNumL4:2000000001025315 |M2M:1027.75
2024-May-21 09:17:29 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:2 |ParityWas:90 |OpnCls:1 |OrdNumL1:1000000001047306 |OrdNumL2:1100000001123072 |OrdNumL3:2100000001051911 |OrdNumL4:2000000001048855 |M2M:1049.75
2024-May-21 09:17:29 |NIFTY24523-22400-22500CE |TRDPARITY:107 |QTY:2 |ParityWas:90 |OpnCls:1 |OrdNumL1:1000000001047336 |OrdNumL2:1100000001123176 |OrdNumL3:2100000001052016 |OrdNumL4:2000000001048973 |M2M:1077.75
2024-May-21 09:17:44 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:1 |ParityWas:90 |OpnCls:1 |OrdNumL1:1000000001155965 |OrdNumL2:1100000001236465 |OrdNumL3:2100000001173521 |OrdNumL4:2000000001169688 |M2M:1088.75
2024-May-21 09:17:46 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:1 |ParityWas:90 |OpnCls:1 |OrdNumL1:1000000001169504 |OrdNumL2:1100000001251223 |OrdNumL3:2100000001190185 |OrdNumL4:2000000001186454 |M2M:1099.75
2024-May-21 09:18:07 |NIFTY24523-22400-22500CE |TRDPARITY:115 |QTY:2 |ParityWas:90 |OpnCls:1 |OrdNumL1:1000000001333028 |OrdNumL2:1100000001419337 |OrdNumL3:2100000001360866 |OrdNumL4:2000000001363955 |M2M:1131.75
2024-May-21 09:18:07 |NIFTY24523-22400-22500CE |TRDPARITY:110 |QTY:1 |ParityWas:90 |OpnCls:1 |OrdNumL1:1000000001333250 |OrdNumL2:1100000001419493 |OrdNumL3:2100000001361058 |OrdNumL4:2000000001364160 |M2M:1146.50
2024-May-21 09:18:21 |NIFTY24523-22400-22450CE |TRDPARITY:90 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001482734 |OrdNumL2:1000000001482857 |OrdNumL3:2000000001541054 |OrdNumL4:2000000001541056 |M2M:1165.50
2024-May-21 09:18:23 |NIFTY24523-22700-22500PE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000001561180 |OrdNumL2:2100000001561228 |OrdNumL3:1100000001607057 |OrdNumL4:1100000001607058 |M2M:1164.75
2024-May-21 09:18:23 |NIFTY24523-22700-22500PE |TRDPARITY:60 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000001561235 |OrdNumL2:2100000001561279 |OrdNumL3:1100000001607102 |OrdNumL4:1100000001607103 |M2M:1163.25
2024-May-21 09:18:48 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:1 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001786826 |OrdNumL2:1100000001883788 |OrdNumL3:2100000001880699 |OrdNumL4:2000000001915836 |M2M:1175.50
2024-May-21 09:18:53 |NIFTY24523-22400-22500CE |TRDPARITY:95 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001844766 |OrdNumL2:1100000001938794 |OrdNumL3:2100000001947843 |OrdNumL4:2000000001985988 |M2M:1197.50
2024-May-21 09:18:57 |NIFTY24523-22400-22500CE |TRDPARITY:92 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1000000001889808 |OrdNumL2:1100000001982925 |OrdNumL3:2100000001998511 |OrdNumL4:2000000002039698 |M2M:1218.00
2024-May-21 09:21:21 |NIFTY24523-23000-22450PE |TRDPARITY:130 |QTY:1 |ParityWas:155 |OpnCls:1 |OrdNumL1:2000000003517702 |OrdNumL2:2000000003517818 |OrdNumL3:1000000003151905 |OrdNumL4:1000000003151907 |M2M:1235.75
2024-May-21 09:22:24 |NIFTY24523-22800-22500PE |TRDPARITY:90 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2000000004128092 |OrdNumL2:2100000003909538 |OrdNumL3:1100000003905399 |OrdNumL4:1000000003749347 |M2M:1240.25
2024-May-21 09:22:24 |NIFTY24523-22700-22500PE |TRDPARITY:70 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000003909717 |OrdNumL2:2100000003909737 |OrdNumL3:1100000003905705 |OrdNumL4:1100000003905706 |M2M:1242.00
2024-May-21 09:22:24 |NIFTY24523-22800-22500PE |TRDPARITY:55 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2000000004130264 |OrdNumL2:2100000003909950 |OrdNumL3:1100000003905921 |OrdNumL4:1000000003749817 |M2M:1237.75
2024-May-21 09:22:36 |NIFTY24523-21850-22500CE |TRDPARITY:250 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1000000003843923 |OrdNumL2:1100000004027191 |OrdNumL3:2100000004024887 |OrdNumL4:2000000004248339 |M2M:1270.25
2024-May-21 09:24:52 |NIFTY24523-22700-22500PE |TRDPARITY:50 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000004956015 |OrdNumL2:2100000004956327 |OrdNumL3:1100000004946322 |OrdNumL4:1100000004946323 |M2M:1267.00
2024-May-21 09:25:30 |NIFTY24523-22750-22500PE |TRDPARITY:65 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:2100000005266181 |OrdNumL2:2100000005266262 |OrdNumL3:1100000005260464 |OrdNumL4:1100000005260465 |M2M:1266.50
2024-May-21 09:26:03 |NIFTY24523-22750-22500PE |TRDPARITY:100 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000005525614 |OrdNumL2:2100000005525712 |OrdNumL3:1100000005503417 |OrdNumL4:1100000005503419 |M2M:1274.75
2024-May-21 09:28:22 |NIFTY24523-21800-23000CE |TRDPARITY:185 |QTY:1 |ParityWas:185 |OpnCls:1 |OrdNumL1:1000000006264409 |OrdNumL2:1000000006279253 |OrdNumL3:2000000006947018 |OrdNumL4:2000000006947020 |M2M:1299.25
2024-May-21 09:28:27 |NIFTY24523-22750-22500PE |TRDPARITY:-10 |QTY:2 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000006589890 |OrdNumL2:2100000006590450 |OrdNumL3:1100000006479959 |OrdNumL4:1100000006479960 |M2M:1259.75
2024-May-21 09:29:09 |NIFTY24523-22750-22500PE |TRDPARITY:70 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000006857083 |OrdNumL2:2100000006857102 |OrdNumL3:1100000006727556 |OrdNumL4:1100000006727557 |M2M:1260.00
2024-May-21 09:33:00 |NIFTY24523-22700-22500PE |TRDPARITY:70 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000008348937 |OrdNumL2:2100000008348953 |OrdNumL3:1100000008153206 |OrdNumL4:1100000008153207 |M2M:1261.75
2024-May-21 09:33:01 |NIFTY24523-22700-22500PE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000008353055 |OrdNumL2:2100000008353059 |OrdNumL3:1100000008156771 |OrdNumL4:1100000008156772 |M2M:1261.00
2024-May-21 09:36:38 |NIFTY24523-22700-22500PE |TRDPARITY:70 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000009598070 |OrdNumL2:2100000009599246 |OrdNumL3:1100000009357405 |OrdNumL4:1100000009357406 |M2M:1262.75
2024-May-21 09:38:40 |NIFTY24523-22800-22500PE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2000000010972590 |OrdNumL2:2100000010255896 |OrdNumL3:1100000009996374 |OrdNumL4:1000000009796466 |M2M:1261.00
2024-May-21 09:40:20 |NIFTY24523-22800-22500PE |TRDPARITY:80 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2000000011750993 |OrdNumL2:2100000010969780 |OrdNumL3:1100000010679923 |OrdNumL4:1000000010443767 |M2M:1263.00
2024-May-21 09:49:08 |NIFTY24MAY-24000-22600PE |TRDPARITY:800 |QTY:2 |ParityWas:770 |OpnCls:1 |OrdNumL1:1200000041276931 |OrdNumL2:1200000041290435 |OrdNumL3:1200000041290437 |OrdNumL4:1200000041290444 |M2M:1590.00
2024-May-21 09:55:20 |NIFTY24523-21700-22500CE |TRDPARITY:265 |QTY:1 |ParityWas:250 |OpnCls:1 |OrdNumL1:1100000014870386 |OrdNumL2:1100000014908167 |OrdNumL3:2100000015227979 |OrdNumL4:2100000015227980 |M2M:1636.75
2024-May-21 10:10:53 |NIFTY24523-22950-22450PE |TRDPARITY:40 |QTY:1 |ParityWas:160 |OpnCls:1 |OrdNumL1:2100000019647976 |OrdNumL2:2000000020794415 |OrdNumL3:1000000018574415 |OrdNumL4:1100000019062215 |M2M:1632.50
2024-May-21 10:13:40 |NIFTY24523-22200-22550CE |TRDPARITY:70 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1000000019121290 |OrdNumL2:1100000019618245 |OrdNumL3:2100000020269590 |OrdNumL4:2000000021383520 |M2M:1632.00
2024-May-21 10:15:33 |NIFTY24523-22950-22500PE |TRDPARITY:-110 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:2100000020725164 |OrdNumL2:2100000020726419 |OrdNumL3:1100000020036445 |OrdNumL4:1100000020036446 |M2M:1582.00
