--------------------2024-May-21 07:50:08------------------------------------
2024-May-21 09:15:21 |BANKNIFTY24522-47400-48000CE |TRDPARITY:245 |QTY:1 |ParityWas:165 |OpnCls:2 |OrdNumL1:1500000000202786 |OrdNumL2:1500000000202925 |OrdNumL3:1700000000208221 |OrdNumL4:1700000000208223 |M2M:11.55
2024-May-21 09:15:44 |BANKNIFTY24522-47000-48000CE |TRDPARITY:510 |QTY:2 |ParityWas:340 |OpnCls:1 |OrdNumL1:1500000000415904 |OrdNumL2:1500000000415969 |OrdNumL3:1700000000417254 |OrdNumL4:1700000000417256 |M2M:120.45
2024-May-21 09:15:44 |BANKNIFTY24522-47000-48000CE |TRDPARITY:465 |QTY:2 |ParityWas:340 |OpnCls:1 |OrdNumL1:1500000000417221 |OrdNumL2:1500000000417557 |OrdNumL3:1700000000418672 |OrdNumL4:1700000000418674 |M2M:215.85
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48200PE |TRDPARITY:225 |QTY:2 |ParityWas:140 |OpnCls:1 |OrdNumL1:1800000000533319 |OrdNumL2:1700000000563785 |OrdNumL3:1500000000567618 |OrdNumL4:1600000000531804 |M2M:250.35
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48200PE |TRDPARITY:253 |QTY:2 |ParityWas:140 |OpnCls:1 |OrdNumL1:1800000000534491 |OrdNumL2:1700000000565509 |OrdNumL3:1500000000568939 |OrdNumL4:1600000000533086 |M2M:293.25
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48200PE |TRDPARITY:525 |QTY:2 |ParityWas:215 |OpnCls:1 |OrdNumL1:1800000000535461 |OrdNumL2:1700000000566682 |OrdNumL3:1500000000569946 |OrdNumL4:1600000000534341 |M2M:417.75
2024-May-21 09:16:04 |BANKNIFTY24522-49000-48000PE |TRDPARITY:355 |QTY:2 |ParityWas:280 |OpnCls:1 |OrdNumL1:1700000000626411 |OrdNumL2:1700000000626620 |OrdNumL3:1500000000632579 |OrdNumL4:1500000000632584 |M2M:489.15
2024-May-21 09:16:38 |BANKNIFTY24MAY-48500-48300PE |TRDPARITY:240 |QTY:1 |ParityWas:235 |OpnCls:2 |OrdNumL1:1400000000414807 |OrdNumL2:1400000000414911 |OrdNumL3:1400000000414913 |OrdNumL4:1400000000414914 |M2M:493.35
2024-May-21 09:16:45 |BANKNIFTY24522-49000-48000PE |TRDPARITY:290 |QTY:2 |ParityWas:280 |OpnCls:1 |OrdNumL1:1700000001025918 |OrdNumL2:1700000001027322 |OrdNumL3:1500000001022231 |OrdNumL4:1500000001022234 |M2M:545.25
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48200CE |TRDPARITY:250 |QTY:2 |ParityWas:230 |OpnCls:1 |OrdNumL1:1600000000985637 |OrdNumL2:1500000001042685 |OrdNumL3:1700000001047498 |OrdNumL4:1800000001017509 |M2M:639.45
2024-May-21 09:16:48 |BANKNIFTY24522-47500-48100CE |TRDPARITY:288 |QTY:2 |ParityWas:230 |OpnCls:1 |OrdNumL1:1600000000985631 |OrdNumL2:1600000000987701 |OrdNumL3:1800000001017493 |OrdNumL4:1800000001017504 |M2M:639.45
2024-May-21 09:17:15 |BANKNIFTY24522-48400-48000PE |TRDPARITY:180 |QTY:1 |ParityWas:125 |OpnCls:1 |OrdNumL1:1700000001386668 |OrdNumL2:1700000001386728 |OrdNumL3:1500000001365782 |OrdNumL4:1500000001365783 |M2M:651.30
2024-May-21 09:17:24 |BANKNIFTY24522-47000-48000CE |TRDPARITY:135 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1500000001455351 |OrdNumL2:1500000001455606 |OrdNumL3:1700000001480757 |OrdNumL4:1700000001480758 |M2M:640.20
2024-May-21 09:17:57 |BANKNIFTY24522-47300-48200CE |TRDPARITY:170 |QTY:2 |ParityWas:150 |OpnCls:2 |OrdNumL1:1600000001765728 |OrdNumL2:1500000001820669 |OrdNumL3:1700000001855506 |OrdNumL4:1800000001815908 |M2M:637.50
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48200CE |TRDPARITY:235 |QTY:2 |ParityWas:220 |OpnCls:1 |OrdNumL1:1600000002189359 |OrdNumL2:1500000002240350 |OrdNumL3:1700000002297698 |OrdNumL4:1800000002265271 |M2M:676.20
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:55 |QTY:3 |ParityWas:220 |OpnCls:1 |OrdNumL1:1600000002189356 |OrdNumL2:1600000002189921 |OrdNumL3:1800000002265257 |OrdNumL4:1800000002265260 |M2M:651.45
2024-May-21 09:19:07 |BANKNIFTY24522-47100-48100CE |TRDPARITY:325 |QTY:2 |ParityWas:305 |OpnCls:1 |OrdNumL1:1600000002723516 |OrdNumL2:1600000002723575 |OrdNumL3:1800000002852276 |OrdNumL4:1800000002852277 |M2M:709.65
2024-May-21 09:19:28 |BANKNIFTY24522-47500-48200CE |TRDPARITY:140 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1600000003012393 |OrdNumL2:1500000003095382 |OrdNumL3:1700000003182951 |OrdNumL4:1800000003122255 |M2M:707.40
2024-May-21 09:20:47 |BANKNIFTY24522-48800-48200PE |TRDPARITY:285 |QTY:2 |ParityWas:235 |OpnCls:1 |OrdNumL1:1700000004312056 |OrdNumL2:1700000004312287 |OrdNumL3:1500000004235709 |OrdNumL4:1500000004235710 |M2M:759.90
2024-May-21 09:21:01 |BANKNIFTY24522-48900-48200PE |TRDPARITY:365 |QTY:2 |ParityWas:250 |OpnCls:1 |OrdNumL1:1800000004445370 |OrdNumL2:1700000004534440 |OrdNumL3:1500000004486845 |OrdNumL4:1600000004405149 |M2M:835.20
