--------------------2024-May-21 07:48:05------------------------------------
--------------------2024-May-21 07:56:21------------------------------------
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:105 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1000000000009940 |OrdNumL2:1000000000010002 |OrdNumL3:2000000000005031 |OrdNumL4:2000000000005032 |M2M:26.50
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:225 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1000000000010260 |OrdNumL2:1000000000010329 |OrdNumL3:2000000000005340 |OrdNumL4:2000000000005341 |M2M:113.00
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:225 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1000000000010330 |OrdNumL2:1000000000010459 |OrdNumL3:2000000000005430 |OrdNumL4:2000000000005431 |M2M:199.50
2024-May-21 09:15:01 |NIFTY24523-22400-22450CE |TRDPARITY:363 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1000000000010462 |OrdNumL2:1000000000010570 |OrdNumL3:2000000000005567 |OrdNumL4:2000000000005568 |M2M:355.00
2024-May-21 09:15:02 |NIFTY24523-22400-22500CE |TRDPARITY:200 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1000000000015536 |OrdNumL2:1100000000009327 |OrdNumL3:2100000000010282 |OrdNumL4:2000000000009673 |M2M:390.75
2024-May-21 09:15:02 |NIFTY24523-22400-22500CE |TRDPARITY:203 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1000000000015580 |OrdNumL2:1100000000009344 |OrdNumL3:2100000000010297 |OrdNumL4:2000000000009678 |M2M:463.75
2024-May-21 09:15:02 |NIFTY24523-22400-22500CE |TRDPARITY:195 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1000000000015595 |OrdNumL2:1100000000009372 |OrdNumL3:2100000000010307 |OrdNumL4:2000000000009693 |M2M:532.75
2024-May-21 09:15:02 |NIFTY24523-22400-22500CE |TRDPARITY:197 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1000000000015612 |OrdNumL2:1100000000009389 |OrdNumL3:2100000000010320 |OrdNumL4:2000000000009702 |M2M:602.75
2024-May-21 09:15:02 |NIFTY24523-22150-22400CE |TRDPARITY:170 |QTY:2 |ParityWas:85 |OpnCls:2 |OrdNumL1:1100000000011388 |OrdNumL2:1000000000017503 |OrdNumL3:2000000000011448 |OrdNumL4:2100000000012029 |M2M:693.25
2024-May-21 09:15:02 |NIFTY24523-22150-22400CE |TRDPARITY:167 |QTY:2 |ParityWas:85 |OpnCls:2 |OrdNumL1:1100000000011399 |OrdNumL2:1000000000017504 |OrdNumL3:2000000000011449 |OrdNumL4:2100000000012035 |M2M:693.25
2024-May-21 09:15:03 |NIFTY24523-22400-22500CE |TRDPARITY:185 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1000000000020240 |OrdNumL2:1100000000014349 |OrdNumL3:2100000000014997 |OrdNumL4:2000000000014676 |M2M:757.25
