--------------------2024-May-21 07:50:05------------------------------------
--------------------2024-May-21 07:56:46------------------------------------
2024-May-21 09:15:04 |BANKNIFTY24522-47700-48000CE |TRDPARITY:475 |QTY:2 |ParityWas:100 |OpnCls:2 |OrdNumL1:1600000000024619 |OrdNumL2:1500000000026944 |OrdNumL3:1700000000024329 |OrdNumL4:1800000000024631 |M2M:103.50
2024-May-21 09:15:04 |BANKNIFTY24522-47700-48100CE |TRDPARITY:-20 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1600000000027733 |OrdNumL2:1600000000030308 |OrdNumL3:1800000000029913 |OrdNumL4:1800000000029914 |M2M:57.90
2024-May-21 09:15:06 |BANKNIFTY24522-47800-48000CE |TRDPARITY:480 |QTY:2 |ParityWas:165 |OpnCls:2 |OrdNumL1:1500000000047926 |OrdNumL2:1500000000048135 |OrdNumL3:1700000000046298 |OrdNumL4:1700000000046299 |M2M:164.10
2024-May-21 09:15:08 |BANKNIFTY24522-47600-48100CE |TRDPARITY:345 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1500000000061230 |OrdNumL2:1600000000056893 |OrdNumL3:1800000000057663 |OrdNumL4:1700000000061729 |M2M:193.35
2024-May-21 09:15:09 |BANKNIFTY24522-47700-48100CE |TRDPARITY:82 |QTY:2 |ParityWas:105 |OpnCls:2 |OrdNumL1:1600000000062849 |OrdNumL2:1600000000063432 |OrdNumL3:1800000000065636 |OrdNumL4:1800000000065640 |M2M:177.15
2024-May-21 09:15:11 |BANKNIFTY24522-47500-48100CE |TRDPARITY:195 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000000080206 |OrdNumL2:1600000000080749 |OrdNumL3:1800000000083337 |OrdNumL4:1800000000083338 |M2M:183.15
2024-May-21 09:15:13 |BANKNIFTY24522-47900-48000CE |TRDPARITY:540 |QTY:2 |ParityWas:160 |OpnCls:1 |OrdNumL1:1600000000100426 |OrdNumL2:1500000000112932 |OrdNumL3:1700000000111225 |OrdNumL4:1800000000102902 |M2M:310.65
2024-May-21 09:15:13 |BANKNIFTY24MAY-47500-48100CE |TRDPARITY:630 |QTY:1 |ParityWas:550 |OpnCls:1 |OrdNumL1:1400000000050750 |OrdNumL2:1400000000050982 |OrdNumL3:1400000000050983 |OrdNumL4:1400000000050984 |M2M:374.10
2024-May-21 09:15:14 |BANKNIFTY24522-47600-48000CE |TRDPARITY:225 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000000128488 |OrdNumL2:1500000000129097 |OrdNumL3:1700000000128951 |OrdNumL4:1700000000128952 |M2M:398.10
2024-May-21 09:15:15 |BANKNIFTY24522-47700-47900CE |TRDPARITY:325 |QTY:2 |ParityWas:105 |OpnCls:2 |OrdNumL1:1600000000126300 |OrdNumL2:1600000000126308 |OrdNumL3:1800000000129005 |OrdNumL4:1800000000129006 |M2M:454.50
2024-May-21 09:15:16 |BANKNIFTY24522-47500-48000CE |TRDPARITY:320 |QTY:1 |ParityWas:235 |OpnCls:1 |OrdNumL1:1600000000138051 |OrdNumL2:1500000000152808 |OrdNumL3:1700000000153247 |OrdNumL4:1800000000140636 |M2M:484.05
2024-May-21 09:15:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:240 |QTY:1 |ParityWas:235 |OpnCls:1 |OrdNumL1:1600000000212468 |OrdNumL2:1600000000212474 |OrdNumL3:1800000000220030 |OrdNumL4:1800000000220031 |M2M:502.35
2024-May-21 09:15:31 |BANKNIFTY24522-48500-48000PE |TRDPARITY:152 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1800000000279828 |OrdNumL2:1700000000300590 |OrdNumL3:1500000000296025 |OrdNumL4:1600000000270697 |M2M:507.45
2024-May-21 09:15:38 |BANKNIFTY24522-47500-47900CE |TRDPARITY:135 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000000328301 |OrdNumL2:1600000000328413 |OrdNumL3:1800000000335932 |OrdNumL4:1800000000335933 |M2M:503.55
2024-May-21 09:15:38 |BANKNIFTY24522-47500-48000CE |TRDPARITY:155 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000000328388 |OrdNumL2:1500000000357269 |OrdNumL3:1700000000359831 |OrdNumL4:1800000000335934 |M2M:503.55
2024-May-21 09:15:40 |BANKNIFTY24522-47500-47900CE |TRDPARITY:145 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000000347065 |OrdNumL2:1600000000347176 |OrdNumL3:1800000000355268 |OrdNumL4:1800000000355269 |M2M:501.60
2024-May-21 09:15:42 |BANKNIFTY24522-47500-48500CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1600000000364572 |OrdNumL2:1600000000364785 |OrdNumL3:1800000000372585 |OrdNumL4:1800000000372586 |M2M:493.65
2024-May-21 09:15:42 |BANKNIFTY24522-47500-48500CE |TRDPARITY:205 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1600000000363696 |OrdNumL2:1600000000364786 |OrdNumL3:1800000000372587 |OrdNumL4:1800000000372588 |M2M:493.65
2024-May-21 09:15:57 |BANKNIFTY24522-47500-48500CE |TRDPARITY:75 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1600000000506118 |OrdNumL2:1600000000506222 |OrdNumL3:1800000000508296 |OrdNumL4:1800000000508297 |M2M:478.20
2024-May-21 09:16:00 |BANKNIFTY24522-48700-48200PE |TRDPARITY:213 |QTY:2 |ParityWas:145 |OpnCls:1 |OrdNumL1:1800000000533321 |OrdNumL2:1700000000563786 |OrdNumL3:1500000000567619 |OrdNumL4:1600000000531805 |M2M:510.00
