--------------------2024-May-21 07:52:05------------------------------------
--------------------2024-May-21 07:57:06------------------------------------
2024-May-21 09:15:01 |FINNIFTY24521-21400-21500CE |TRDPARITY:255 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000000058060 |OrdNumL2:1200000000059311 |OrdNumL3:1900000000052032 |OrdNumL4:1900000000052033 |M2M:91.60
2024-May-21 09:15:01 |BANKNIFTY24522-48700-48100PE |TRDPARITY:12400 |QTY:1 |ParityWas:230 |OpnCls:1 |OrdNumL1:1800000000004898 |OrdNumL2:1800000000005429 |OrdNumL3:1600000000005487 |OrdNumL4:1600000000005488 |M2M:1935.55
2024-May-21 09:15:02 |FINNIFTY24521-21350-21500CE |TRDPARITY:70 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000000089018 |OrdNumL2:1200000000089685 |OrdNumL3:1900000000078644 |OrdNumL4:1900000000078646 |M2M:1948.35
2024-May-21 09:15:03 |FINNIFTY24521-21300-21400CE |TRDPARITY:180 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000000120979 |OrdNumL2:1200000000131021 |OrdNumL3:1900000000115030 |OrdNumL4:1900000000115031 |M2M:2001.95
2024-May-21 09:15:04 |FINNIFTY24521-21350-21400CE |TRDPARITY:15 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000000154136 |OrdNumL2:0 |OrdNumL3:1900000000135687 |OrdNumL4:1900000000135688 |M2M:1991.15
2024-May-21 09:15:04 |FINNIFTY24521-21350-21400CE |TRDPARITY:95 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000000156390 |OrdNumL2:1200000000156535 |OrdNumL3:1900000000137076 |OrdNumL4:1900000000137077 |M2M:2012.35
2024-May-21 09:15:04 |FINNIFTY24521-21350-21400CE |TRDPARITY:180 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000000158750 |OrdNumL2:1200000000159158 |OrdNumL3:1900000000139642 |OrdNumL4:1900000000139643 |M2M:2067.55
2024-May-21 09:15:06 |FINNIFTY24521-21450-21500CE |TRDPARITY:75 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000000221447 |OrdNumL2:1200000000221504 |OrdNumL3:1900000000204177 |OrdNumL4:1900000000204178 |M2M:2084.75
2024-May-21 09:15:06 |BANKNIFTY24522-47800-48100CE |TRDPARITY:285 |QTY:1 |ParityWas:140 |OpnCls:2 |OrdNumL1:1500000000047189 |OrdNumL2:1600000000045126 |OrdNumL3:1800000000044625 |OrdNumL4:1700000000045990 |M2M:2108.15
2024-May-21 09:15:06 |BANKNIFTY24522-47800-48000CE |TRDPARITY:555 |QTY:1 |ParityWas:135 |OpnCls:2 |OrdNumL1:1500000000047927 |OrdNumL2:1500000000048148 |OrdNumL3:1700000000046295 |OrdNumL4:1700000000046297 |M2M:2172.50
2024-May-21 09:15:07 |FINNIFTY24521-21300-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000000247264 |OrdNumL2:1200000000248939 |OrdNumL3:1900000000226732 |OrdNumL4:1900000000226733 |M2M:2178.50
2024-May-21 09:15:09 |BANKNIFTY24522-47600-48000CE |TRDPARITY:580 |QTY:1 |ParityWas:155 |OpnCls:2 |OrdNumL1:1500000000068670 |OrdNumL2:1500000000068828 |OrdNumL3:1700000000068751 |OrdNumL4:1700000000068752 |M2M:2243.75
2024-May-21 09:15:09 |BANKNIFTY24522-47700-48100CE |TRDPARITY:-35 |QTY:1 |ParityWas:145 |OpnCls:2 |OrdNumL1:1600000000062839 |OrdNumL2:0 |OrdNumL3:1800000000065638 |OrdNumL4:1800000000065639 |M2M:2218.10
2024-May-21 09:15:11 |FINNIFTY24521-21400-21550CE |TRDPARITY:105 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000000418226 |OrdNumL2:1200000000418374 |OrdNumL3:1900000000391470 |OrdNumL4:1900000000391471 |M2M:2248.50
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:155 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000448073 |OrdNumL2:1900000000448431 |OrdNumL3:1200000000472084 |OrdNumL4:1200000000472087 |M2M:2295.30
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:145 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000448451 |OrdNumL2:1900000000448832 |OrdNumL3:1200000000472814 |OrdNumL4:1200000000472817 |M2M:2338.10
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:115 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000448842 |OrdNumL2:1900000000448907 |OrdNumL3:1200000000472877 |OrdNumL4:1200000000472878 |M2M:2368.90
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:110 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000448910 |OrdNumL2:1900000000449064 |OrdNumL3:1200000000473076 |OrdNumL4:1200000000473078 |M2M:2426.50
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:110 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000449067 |OrdNumL2:1900000000449086 |OrdNumL3:1200000000473138 |OrdNumL4:1200000000473140 |M2M:2426.50
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:115 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000449093 |OrdNumL2:1900000000449335 |OrdNumL3:1200000000473510 |OrdNumL4:1200000000473511 |M2M:2457.30
2024-May-21 09:15:13 |FINNIFTY24521-21800-21450PE |TRDPARITY:105 |QTY:1 |ParityWas:100 |OpnCls:1 |OrdNumL1:1900000000449346 |OrdNumL2:1900000000449427 |OrdNumL3:1200000000473537 |OrdNumL4:1200000000473538 |M2M:2484.10
2024-May-21 09:15:14 |BANKNIFTY24522-47600-48000CE |TRDPARITY:280 |QTY:1 |ParityWas:185 |OpnCls:2 |OrdNumL1:1500000000128473 |OrdNumL2:1500000000129095 |OrdNumL3:1700000000128947 |OrdNumL4:1700000000128948 |M2M:2504.35
2024-May-21 09:15:15 |BANKNIFTY24522-47700-47900CE |TRDPARITY:320 |QTY:1 |ParityWas:145 |OpnCls:2 |OrdNumL1:1600000000126301 |OrdNumL2:1600000000126317 |OrdNumL3:1800000000129014 |OrdNumL4:1800000000129015 |M2M:2531.80
2024-May-21 09:15:21 |FINNIFTY24521-21600-21500PE |TRDPARITY:65 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1900000000690523 |OrdNumL2:1900000000691847 |OrdNumL3:1200000000719508 |OrdNumL4:1200000000719509 |M2M:2542.60
