--------------------2024-May-21 07:45:05------------------------------------
--------------------2024-May-21 07:57:26------------------------------------
2024-May-21 09:15:04 |MIDCPNIFTY24MAY-11325-11300PE |TRDPARITY:150 |QTY:1 |ParityWas:85 |OpnCls:1 |OrdNumL1:1300000000009208 |OrdNumL2:1300000000010060 |OrdNumL3:1400000000009077 |OrdNumL4:1400000000009078 |M2M:81.00
2024-May-21 09:15:05 |MIDCPNIFTY24MAY-11350-11300PE |TRDPARITY:-440 |QTY:2 |ParityWas:90 |OpnCls:1 |OrdNumL1:1300000000010585 |OrdNumL2:1300000000013553 |OrdNumL3:1400000000014230 |OrdNumL4:1400000000014233 |M2M:-639.00
2024-May-21 09:15:06 |FINNIFTY24521-21450-21500CE |TRDPARITY:20 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000000221448 |OrdNumL2:1200000000221508 |OrdNumL3:1900000000204179 |OrdNumL4:1900000000204181 |M2M:-643.40
2024-May-21 09:15:13 |FINNIFTY24521-21800-21600PE |TRDPARITY:120 |QTY:2 |ParityWas:110 |OpnCls:1 |OrdNumL1:1900000000448257 |OrdNumL2:1900000000449084 |OrdNumL3:1200000000473141 |OrdNumL4:1200000000473142 |M2M:-584.20
2024-May-21 09:15:15 |NIFTY24MAY-22100-22500CE |TRDPARITY:560 |QTY:2 |ParityWas:250 |OpnCls:1 |OrdNumL1:1200000000495561 |OrdNumL2:1200000000528662 |OrdNumL3:1200000000528667 |OrdNumL4:1200000000528669 |M2M:-349.20
2024-May-21 09:15:20 |MIDCPNIFTY24MAY-11375-11350PE |TRDPARITY:103 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1300000000052461 |OrdNumL2:1300000000056943 |OrdNumL3:1400000000078938 |OrdNumL4:1400000000078940 |M2M:-262.20
2024-May-21 09:15:21 |FINNIFTY24521-21300-21600CE |TRDPARITY:10 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000000714600 |OrdNumL2:1200000000726101 |OrdNumL3:1900000000699561 |OrdNumL4:1900000000699563 |M2M:-279.40
2024-May-21 09:15:22 |MIDCPNIFTY24MAY-11350-11250PE |TRDPARITY:167 |QTY:2 |ParityWas:105 |OpnCls:1 |OrdNumL1:1300000000060775 |OrdNumL2:1300000000060784 |OrdNumL3:1400000000083202 |OrdNumL4:1400000000083203 |M2M:-91.90
2024-May-21 09:15:22 |MIDCPNIFTY24MAY-11350-11250PE |TRDPARITY:145 |QTY:2 |ParityWas:105 |OpnCls:1 |OrdNumL1:1300000000060786 |OrdNumL2:1300000000060807 |OrdNumL3:1400000000083220 |OrdNumL4:1400000000083221 |M2M:62.60
2024-May-21 09:15:22 |MIDCPNIFTY24MAY-11375-11350PE |TRDPARITY:65 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1300000000060163 |OrdNumL2:1300000000062297 |OrdNumL3:1400000000085984 |OrdNumL4:1400000000085986 |M2M:92.60
2024-May-21 09:15:24 |FINNIFTY24521-21850-21600PE |TRDPARITY:263 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1900000000732814 |OrdNumL2:1900000000780784 |OrdNumL3:1200000000807460 |OrdNumL4:1200000000807472 |M2M:250.20
2024-May-21 09:15:29 |NIFTY24MAY-22200-22500CE |TRDPARITY:310 |QTY:1 |ParityWas:210 |OpnCls:1 |OrdNumL1:1200000000927190 |OrdNumL2:1200000000927800 |OrdNumL3:1200000000927802 |OrdNumL4:1200000000927803 |M2M:305.45
2024-May-21 09:15:29 |NIFTY24MAY-22200-22500CE |TRDPARITY:275 |QTY:2 |ParityWas:210 |OpnCls:1 |OrdNumL1:1200000000927812 |OrdNumL2:1200000000931091 |OrdNumL3:1200000000931093 |OrdNumL4:1200000000931096 |M2M:398.45
2024-May-21 09:15:30 |NIFTY24523-22000-22450CE |TRDPARITY:150 |QTY:2 |ParityWas:90 |OpnCls:2 |OrdNumL1:1000000000172661 |OrdNumL2:1000000000172673 |OrdNumL3:2000000000163881 |OrdNumL4:2000000000163883 |M2M:422.45
2024-May-21 09:15:35 |FINNIFTY24521-21300-21400CE |TRDPARITY:65 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001100658 |OrdNumL2:1200000001100671 |OrdNumL3:1900000001040220 |OrdNumL4:1900000001040221 |M2M:439.25
2024-May-21 09:15:43 |FINNIFTY24521-21300-21500CE |TRDPARITY:65 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001307342 |OrdNumL2:1200000001307430 |OrdNumL3:1900000001211405 |OrdNumL4:1900000001211406 |M2M:446.85
2024-May-21 09:15:43 |FINNIFTY24521-21300-21500CE |TRDPARITY:55 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000001307745 |OrdNumL2:1200000001308178 |OrdNumL3:1900000001212131 |OrdNumL4:1900000001212132 |M2M:453.25
2024-May-21 09:15:43 |FINNIFTY24521-21300-21600CE |TRDPARITY:50 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001307747 |OrdNumL2:1200000001308183 |OrdNumL3:1900000001212138 |OrdNumL4:1900000001212139 |M2M:453.25
2024-May-21 09:15:45 |NIFTY24MAY-22200-22500CE |TRDPARITY:260 |QTY:1 |ParityWas:210 |OpnCls:1 |OrdNumL1:1200000001360772 |OrdNumL2:1200000001361507 |OrdNumL3:1200000001361508 |OrdNumL4:1200000001361509 |M2M:496.00
2024-May-21 09:15:48 |FINNIFTY24521-21250-21500CE |TRDPARITY:83 |QTY:2 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000001401245 |OrdNumL2:1200000001420826 |OrdNumL3:1900000001308495 |OrdNumL4:1900000001308500 |M2M:536.80
2024-May-21 09:15:48 |FINNIFTY24521-21250-21500CE |TRDPARITY:75 |QTY:2 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000001423380 |OrdNumL2:1200000001426250 |OrdNumL3:1900000001313255 |OrdNumL4:1900000001313266 |M2M:571.20
2024-May-21 09:15:52 |FINNIFTY24521-21000-21400CE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000001492539 |OrdNumL2:1200000001495092 |OrdNumL3:1900000001379489 |OrdNumL4:1900000001379490 |M2M:564.80
2024-May-21 09:15:54 |FINNIFTY24521-21200-21400CE |TRDPARITY:70 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001542071 |OrdNumL2:1200000001542681 |OrdNumL3:1900000001418718 |OrdNumL4:1900000001418719 |M2M:570.40
2024-May-21 09:16:12 |FINNIFTY24521-21800-21400PE |TRDPARITY:75 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1900000001847109 |OrdNumL2:1900000001850663 |OrdNumL3:1200000002010431 |OrdNumL4:1200000002010432 |M2M:574.00
2024-May-21 09:16:12 |FINNIFTY24521-21600-21400PE |TRDPARITY:40 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000001854611 |OrdNumL2:1900000001854763 |OrdNumL3:1200000002014427 |OrdNumL4:1200000002014429 |M2M:574.00
2024-May-21 09:16:15 |NIFTY24523-21900-22450CE |TRDPARITY:300 |QTY:2 |ParityWas:105 |OpnCls:2 |OrdNumL1:1100000000539926 |OrdNumL2:1000000000509889 |OrdNumL3:2000000000479167 |OrdNumL4:2100000000485361 |M2M:667.00
2024-May-21 09:16:41 |NIFTY24523-23000-22550PE |TRDPARITY:60 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:2000000000644576 |OrdNumL2:2100000000649057 |OrdNumL3:1100000000719498 |OrdNumL4:1000000000675151 |M2M:659.00
2024-May-21 09:17:04 |FINNIFTY24521-21800-21500PE |TRDPARITY:100 |QTY:2 |ParityWas:45 |OpnCls:2 |OrdNumL1:1900000002876946 |OrdNumL2:1900000002878804 |OrdNumL3:1200000003113392 |OrdNumL4:1200000003113393 |M2M:691.00
2024-May-21 09:17:04 |FINNIFTY24521-21800-21600PE |TRDPARITY:90 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1900000002876954 |OrdNumL2:1900000002878872 |OrdNumL3:1200000003113443 |OrdNumL4:1200000003113446 |M2M:713.40
2024-May-21 09:17:22 |FINNIFTY24521-21300-21400CE |TRDPARITY:55 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000003504856 |OrdNumL2:1200000003507593 |OrdNumL3:1900000003294821 |OrdNumL4:1900000003294823 |M2M:725.40
2024-May-21 09:17:29 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001047309 |OrdNumL2:1100000001123070 |OrdNumL3:2100000001051910 |OrdNumL4:2000000001048853 |M2M:750.40
